station,fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,normalized_width,mean_interval_score
CSGS2,q1_2020,1,robust_rolling_cqr,clean,down,96,0.3854166666666667,0.5145833333333334,24.512243270874023,0.18855571746826172,111.59765625
CSGS2,q1_2020,1,robust_rolling_cqr,clean,up,87,0.39080459770114945,0.5091954022988505,23.4470272064209,0.18036174774169922,105.62997436523438
CSGS2,q1_2020,1,robust_rolling_cqr,combined_outage,down,96,0.6666666666666666,0.2333333333333334,36.057979583740234,0.27736908197402954,99.29421997070312
CSGS2,q1_2020,1,robust_rolling_cqr,combined_outage,up,87,0.632183908045977,0.267816091954023,28.14408302307129,0.21649295091629028,74.12069702148438
CSGS2,q1_2020,1,robust_rolling_cqr,irradiance_outage,down,96,0.3958333333333333,0.5041666666666667,26.831886291503906,0.2063991278409958,104.2509994506836
CSGS2,q1_2020,1,robust_rolling_cqr,irradiance_outage,up,87,0.47126436781609193,0.4287356321839081,25.259252548217773,0.19430194795131683,97.46810150146484
CSGS2,q1_2020,1,robust_rolling_cqr,recent_power_outage,down,96,0.6354166666666666,0.2645833333333334,34.235897064208984,0.26335304975509644,88.313232421875
CSGS2,q1_2020,1,robust_rolling_cqr,recent_power_outage,up,87,0.5172413793103449,0.38275862068965516,28.609909057617188,0.22007621824741364,87.12708282470703
CSGS2,q1_2020,1,robust_rolling_cqr,weather_outage,down,96,0.3541666666666667,0.5458333333333334,24.802968978881836,0.19079206883907318,112.5270767211914
CSGS2,q1_2020,1,robust_rolling_cqr,weather_outage,up,87,0.41379310344827586,0.48620689655172417,23.094629287719727,0.17765098810195923,108.10716247558594
CSGS2,q1_2020,4,clean_condition_cqr,clean,down,207,0.6714975845410628,0.22850241545893724,29.357946395874023,0.22583036124706268,87.24299621582031
CSGS2,q1_2020,4,clean_condition_cqr,clean,up,266,0.5676691729323309,0.33233082706766914,29.938373565673828,0.23029518127441406,95.97200012207031
CSGS2,q1_2020,4,clean_condition_cqr,combined_outage,down,207,0.9758454106280193,0.0,47.794307708740234,0.36764851212501526,50.18564987182617
CSGS2,q1_2020,4,clean_condition_cqr,combined_outage,up,266,0.8909774436090225,0.009022556390977488,68.58935546875,0.5276104211807251,86.22904968261719
CSGS2,q1_2020,4,clean_condition_cqr,irradiance_outage,down,207,0.8647342995169082,0.035265700483091855,33.97102737426758,0.26131558418273926,46.475711822509766
CSGS2,q1_2020,4,clean_condition_cqr,irradiance_outage,up,266,0.5488721804511278,0.3511278195488722,32.34059143066406,0.24877378344535828,106.7870101928711
CSGS2,q1_2020,4,clean_condition_cqr,recent_power_outage,down,207,0.9903381642512077,0.0,49.236053466796875,0.3787388801574707,49.80137634277344
CSGS2,q1_2020,4,clean_condition_cqr,recent_power_outage,up,266,0.849624060150376,0.050375939849624074,64.2598648071289,0.49430665373802185,90.8628921508789
CSGS2,q1_2020,4,clean_condition_cqr,weather_outage,down,207,0.6231884057971014,0.2768115942028986,30.217365264892578,0.2324412763118744,91.38123321533203
CSGS2,q1_2020,4,clean_condition_cqr,weather_outage,up,266,0.5263157894736842,0.37368421052631584,30.23876190185547,0.23260585963726044,117.79460144042969
CSGS2,q1_2020,4,lgbm_condition_cqr,clean,down,207,0.5217391304347826,0.37826086956521743,30.423667907714844,0.23402822017669678,76.90648651123047
CSGS2,q1_2020,4,lgbm_condition_cqr,clean,up,266,0.6766917293233082,0.2233082706766918,42.022403717041016,0.3232492506504059,85.69426727294922
CSGS2,q1_2020,4,lgbm_condition_cqr,combined_outage,down,207,0.9903381642512077,0.0,48.72069549560547,0.3747745752334595,49.58168029785156
CSGS2,q1_2020,4,lgbm_condition_cqr,combined_outage,up,266,0.9172932330827067,0.0,69.3413314819336,0.5333948731422424,85.9220199584961
CSGS2,q1_2020,4,lgbm_condition_cqr,irradiance_outage,down,207,0.7294685990338164,0.17053140096618358,34.51511001586914,0.26550084352493286,51.412410736083984
CSGS2,q1_2020,4,lgbm_condition_cqr,irradiance_outage,up,266,0.6917293233082706,0.20827067669172938,42.3701171875,0.32592397928237915,81.07035064697266
CSGS2,q1_2020,4,lgbm_condition_cqr,recent_power_outage,down,207,0.9903381642512077,0.0,47.862388610839844,0.36817222833633423,48.31028747558594
CSGS2,q1_2020,4,lgbm_condition_cqr,recent_power_outage,up,266,0.8984962406015038,0.0015037593984962294,69.99209594726562,0.5384007096290588,91.75001525878906
CSGS2,q1_2020,4,lgbm_condition_cqr,weather_outage,down,207,0.4782608695652174,0.4217391304347826,29.80672836303711,0.22928252816200256,83.87000274658203
CSGS2,q1_2020,4,lgbm_condition_cqr,weather_outage,up,266,0.6729323308270677,0.2270676691729323,41.43695831298828,0.31874582171440125,83.27498626708984
CSGS2,q1_2020,4,oracle_ramp_mondrian,clean,down,207,0.9033816425120773,0.0,44.56582260131836,0.34281402826309204,57.305152893066406
CSGS2,q1_2020,4,oracle_ramp_mondrian,clean,up,266,0.8721804511278195,0.027819548872180522,45.96908187866211,0.35360831022262573,59.303199768066406
CSGS2,q1_2020,4,oracle_ramp_mondrian,combined_outage,down,207,0.9565217391304348,0.0,53.77766418457031,0.41367435455322266,58.217079162597656
CSGS2,q1_2020,4,oracle_ramp_mondrian,combined_outage,up,266,0.8571428571428571,0.04285714285714293,51.511287689208984,0.3962406814098358,64.16178894042969
CSGS2,q1_2020,4,oracle_ramp_mondrian,irradiance_outage,down,207,0.9227053140096618,0.0,46.83472442626953,0.36026710271835327,54.719844818115234
CSGS2,q1_2020,4,oracle_ramp_mondrian,irradiance_outage,up,266,0.8646616541353384,0.03533834586466167,46.1950569152832,0.35534659028053284,62.027137756347656
CSGS2,q1_2020,4,oracle_ramp_mondrian,recent_power_outage,down,207,0.9033816425120773,0.0,38.7457160949707,0.29804396629333496,51.11177062988281
CSGS2,q1_2020,4,oracle_ramp_mondrian,recent_power_outage,up,266,0.8984962406015038,0.0015037593984962294,47.87877655029297,0.3682982921600342,61.35505294799805
