station,horizon_steps,baseline_worst_undercoverage,local_worst_undercoverage,oracle_worst_undercoverage,recoverable_gap_base_to_oracle,remaining_local_to_oracle_gap,local_interval_score,oracle_interval_score
CSGS2,1,0.5174863387978142,0.3777448071216617,0.0765644389292679,0.44092189986854635,0.3011803681923938,0.3995457883771699,0.322975568360017
CSGS2,4,0.2974630021141649,0.17484143763213533,0.07235188509874324,0.22511111701542164,0.10248955253339209,0.39122127788213074,0.37978096256377797
CSGS5,1,0.36960486322188457,0.2535353535353535,0.22947805456702253,0.14012680865486205,0.024057298968330976,0.4761370850625464,0.42474952222221296
CSGS5,4,0.2065250379362671,0.1579666160849773,0.21975138121546967,-0.01322634327920258,-0.06178476513049236,0.5370259914687573,0.5178199976162532
CSGS6,1,0.3974874371859297,0.29890710382513663,0.061202185792349706,0.33628525139358,0.23770491803278693,0.43724387691070377,0.3616627714520854
CSGS6,4,0.26592178770949726,0.13743016759776538,0.06550657385924208,0.20041521385025518,0.0719235937385233,0.3752597222030061,0.3710618441598532
CSGS7,1,0.35376712328767124,0.23450704225352115,0.042123287671232856,0.3116438356164384,0.1923837545822883,0.4707478349442128,0.4239229461279175
CSGS7,4,0.20959446092977252,0.08991097922848668,0.0489161168708766,0.16067834405889592,0.04099486235761007,0.434874086788165,0.43072049688191016
CSGS8,1,0.5544117647058824,0.44411764705882356,0.16470588235294115,0.38970588235294124,0.2794117647058824,0.22338433807642755,0.20814940280538355
CSGS8,4,0.4064935064935065,0.3761904761904762,0.2333333333333334,0.17316017316017313,0.1428571428571428,0.2636642325182532,0.25241326931993835
