station,fold,horizon_steps,method_base,condition,ramp_group,n_base,coverage_base,coverage_error_base,mean_width_base,median_width_base,interval_score_base,mae_base,rmse_base,undercoverage_error_base,overcoverage_error_base,normalized_width_base,normalized_interval_score_base,ramp_prevalence_base,method_local,n_local,coverage_local,coverage_error_local,mean_width_local,median_width_local,interval_score_local,mae_local,rmse_local,undercoverage_error_local,overcoverage_error_local,normalized_width_local,normalized_interval_score_local,ramp_prevalence_local,undercoverage_improvement,coverage_error_improvement,interval_score_change,width_change
CSGS2,q1_2020,1,robust_condition_cqr,clean,non_ramp,5641,0.9301542279737636,0.030154227973763548,11.2502415458312,7.631674289703369,13.176960564599014,2.0574736356156724,3.7064092455850908,0.0,0.030154227973763548,0.08654031958331693,0.10136123511230011,,robust_local_cqr,5641,0.9475270342137919,0.0475270342137919,13.480512427745106,9.98198652267456,14.116221868494476,2.0574736356156724,3.7064092455850908,0.0,0.0475270342137919,0.10369624944419312,0.10858632206534212,,0.0,-0.01737280624002835,0.9392613038954618,2.2302708819139063
CSGS2,q1_2020,1,robust_condition_cqr,clean,ramp,183,0.3879781420765027,0.5120218579234973,23.997125679026535,23.729023933410645,108.79016822934803,14.73973827609599,16.73139588692348,0.5120218579234973,0.0,0.18459327445405027,0.8368474479180618,0.031421703296703296,robust_local_cqr,183,0.5846994535519126,0.31530054644808747,30.853041362241317,30.256412506103516,82.3646503693419,14.73973827609599,16.73139588692348,0.31530054644808747,0.0,0.2373310874018563,0.6335742336103223,0.031421703296703296,0.19672131147540983,0.19672131147540983,-26.425517860006124,6.855915683214782
CSGS2,q1_2020,1,robust_condition_cqr,combined_outage,non_ramp,5641,0.8741357915263251,0.025864208473674877,17.8970070645894,15.817261695861816,31.302119643428256,4.819693371176752,8.534840669414937,0.025864208473674877,0.0,0.13766928511222615,0.2407855357186789,,robust_local_cqr,5641,0.8806949122496012,0.019305087750398853,19.4103732481409,17.052753448486328,28.30821063230516,4.819693371176752,8.534840669414937,0.019305087750398853,0.0,0.1493105634472377,0.21775546640234736,,0.006559120723276024,0.006559120723276024,-2.9939090111230975,1.5133661835515007
CSGS2,q1_2020,1,robust_condition_cqr,combined_outage,ramp,183,0.6338797814207651,0.26612021857923496,30.892202390673383,31.083667755126953,90.2229817503137,13.416071250139039,16.079593105099413,0.26612021857923496,0.0,0.23763232608210294,0.6940229365408747,0.031421703296703296,robust_local_cqr,183,0.7049180327868853,0.19508196721311477,35.05285742830058,35.29570388793945,81.46837499298033,13.416071250139039,16.079593105099413,0.19508196721311477,0.0,0.26963736483308137,0.6266798076383102,0.031421703296703296,0.07103825136612019,0.07103825136612019,-8.754606757333377,4.160655037627194
CSGS2,q1_2020,1,robust_condition_cqr,irradiance_outage,non_ramp,5641,0.9305087750398865,0.03050877503988647,12.853256401047705,9.106069087982178,14.404797425997149,2.189181113847761,3.9221988960582284,0.0,0.03050877503988647,0.09887120308498235,0.11080613404613192,,robust_local_cqr,5641,0.9601134550611594,0.06011345506115939,14.915167824545405,11.95677375793457,15.481465093089566,2.189181113847761,3.9221988960582284,0.0,0.06011345506115939,0.11473206018881081,0.1190881930237659,,0.0,-0.029604680021272922,1.0766676670924173,2.0619114234976994
CSGS2,q1_2020,1,robust_condition_cqr,irradiance_outage,ramp,183,0.43169398907103823,0.4683060109289618,26.078873059137273,25.006702423095703,101.05024989250579,15.06599006691917,16.92423042988765,0.4683060109289618,0.0,0.20060671583951747,0.7773096145577368,0.031421703296703296,robust_local_cqr,183,0.5901639344262295,0.3098360655737705,31.298582530412517,29.728532791137695,81.63900234920732,15.06599006691917,16.92423042988765,0.3098360655737705,0.0,0.24075832715701936,0.6279923257631332,0.031421703296703296,0.15846994535519127,0.15846994535519127,-19.411247543298472,5.2197094712752445
CSGS2,q1_2020,1,robust_condition_cqr,recent_power_outage,non_ramp,5641,0.8519765998936358,0.04802340010636419,16.03086373897293,12.598004341125488,28.886176952300733,4.835724268859476,8.640821126116448,0.04802340010636419,0.0,0.12331433645363792,0.2222013611715441,,robust_local_cqr,5641,0.8684630384683567,0.031536961531643315,18.086615190054292,16.41001033782959,26.359003460299608,4.835724268859476,8.640821126116448,0.031536961531643315,0.0,0.1391278091542638,0.20276156507922774,,0.016486438574720874,0.016486438574720874,-2.5271734920011255,2.0557514510813633
CSGS2,q1_2020,1,robust_condition_cqr,recent_power_outage,ramp,183,0.5191256830601093,0.3808743169398907,29.56717895158653,28.538482666015625,94.69334395335672,13.641317960994492,16.098242138798753,0.3808743169398907,0.0,0.22743983808912716,0.728410338102744,0.031421703296703296,robust_local_cqr,183,0.6612021857923497,0.23879781420765034,33.39236034330774,33.34658622741699,80.3238633968791,13.641317960994492,16.098242138798753,0.23879781420765034,0.0,0.2568643103331365,0.6178758722836855,0.031421703296703296,0.14207650273224037,0.14207650273224037,-14.369480556477612,3.8251813917212125
CSGS2,q1_2020,1,robust_condition_cqr,weather_outage,non_ramp,5641,0.9356497074986705,0.03564970749867047,11.148739803285912,7.807016372680664,13.208673483298679,2.0796214569729177,3.7515186116990753,0.0,0.03564970749867047,0.08575953694835317,0.10160518064075906,,robust_local_cqr,5641,0.9609998227264669,0.06099982272646687,13.345685414620572,9.473841667175293,14.058807766519024,2.0796214569729177,3.7515186116990753,0.0,0.06099982272646687,0.10265911857400441,0.10814467512706942,,0.0,-0.0253501152277964,0.8501342832203456,2.1969456113346606
CSGS2,q1_2020,1,robust_condition_cqr,weather_outage,ramp,183,0.3825136612021858,0.5174863387978142,24.007368767196365,23.741705894470215,110.33077687057641,14.946985535934322,16.847534062163856,0.5174863387978142,0.0,0.18467206743997203,0.8486982836198186,0.031421703296703296,robust_local_cqr,183,0.5519125683060109,0.34808743169398915,30.690367101971567,30.712554931640625,85.06903399274648,14.946985535934322,16.847534062163856,0.34808743169398915,0.0,0.23607974693824282,0.6543771845595884,0.031421703296703296,0.1693989071038251,0.1693989071038251,-25.26174287782993,6.682998334775203
CSGS2,q1_2020,4,robust_condition_cqr,clean,non_ramp,5351,0.9017006167071575,0.0017006167071574874,19.422410233006193,14.928651094436646,32.40122539239885,5.253529218074325,9.6571275224629,0.0,0.0017006167071574874,0.14940315563850917,0.249240195326145,,robust_local_cqr,5351,0.9080545692393945,0.008054569239394516,21.64892477712101,19.69667625427246,30.11922270020077,5.253529218074325,9.6571275224629,0.0,0.008054569239394516,0.16653019059323854,0.23168632846308285,,0.0,-0.006353952532237028,-2.2820026921980805,2.226514544114817
CSGS2,q1_2020,4,robust_condition_cqr,clean,ramp,473,0.6575052854122622,0.24249471458773786,29.46268570672004,28.02790069580078,77.10454728156643,11.935156461993433,15.680686076462045,0.24249471458773786,0.0,0.22663604389784647,0.5931119021658956,0.08121565934065934,robust_local_cqr,473,0.7653276955602537,0.13467230443974632,35.41452237072127,34.709102630615234,66.10523771770282,11.935156461993433,15.680686076462045,0.13467230443974632,0.0,0.2724194028517021,0.508501828597714,0.08121565934065934,0.10782241014799154,0.10782241014799154,-10.999309563863605,5.951836664001231
CSGS2,q1_2020,4,robust_condition_cqr,combined_outage,non_ramp,5351,0.8775929732760231,0.022407026723976875,23.30776221914573,22.512296676635742,43.33120164734652,6.98466818601962,11.912621438152062,0.022407026723976875,0.0,0.1792904786088133,0.3333169357488194,,robust_local_cqr,5351,0.8757241637077182,0.024275836292281805,23.387224385724537,25.07992911338806,39.51193601671091,6.98466818601962,11.912621438152062,0.024275836292281805,0.0,0.1799017260440349,0.3039379693593147,,-0.00186880956830493,-0.00186880956830493,-3.8192656306356056,0.07946216657880711
CSGS2,q1_2020,4,robust_condition_cqr,combined_outage,ramp,473,0.6723044397463002,0.22769556025369986,35.6917909206724,34.95944309234619,83.08923420108398,14.226982319518829,17.43100280643092,0.22769556025369986,0.0,0.27455223785132615,0.6391479553929537,0.08121565934065934,robust_local_cqr,473,0.7251585623678647,0.17484143763213533,39.176496119255354,38.96947479248047,71.33632168520643,14.226982319518829,17.43100280643092,0.17484143763213533,0.0,0.3013576624558104,0.5487409360400495,0.08121565934065934,0.052854122621564525,0.052854122621564525,-11.752912515877554,3.484705198582951
