station,fold,horizon_steps,condition,n,ramp_n,ramp_prevalence,roc_auc,average_precision,brier,top_decile_ramp_recall
CSGS2,q1_2020,1,clean,5824,183,0.031421703296703296,0.9070490931441642,0.2162962181725382,0.050531123976019804,0.6010928961748634
CSGS2,q1_2020,1,combined_outage,5824,183,0.031421703296703296,0.7252483040347649,0.08195941419786432,0.034444710415331425,0.2896174863387978
CSGS2,q1_2020,1,irradiance_outage,5824,183,0.031421703296703296,0.8932038364704937,0.16615934988914544,0.045318802610782374,0.5737704918032787
CSGS2,q1_2020,1,recent_power_outage,5824,183,0.031421703296703296,0.6258709894284914,0.04595897574819923,0.04675735169781952,0.17486338797814208
CSGS2,q1_2020,1,weather_outage,5824,183,0.031421703296703296,0.8903771470198188,0.20330472695372703,0.05406350175689232,0.5519125683060109
CSGS2,q1_2020,4,clean,5824,473,0.08121565934065934,0.8985271963154818,0.435451234729354,0.09502459725616903,0.53276955602537
CSGS2,q1_2020,4,combined_outage,5824,473,0.08121565934065934,0.6140756129043474,0.18696838018564543,0.11266374672277965,0.2854122621564482
CSGS2,q1_2020,4,irradiance_outage,5824,473,0.08121565934065934,0.8723822343771669,0.3135312632540814,0.10122111315427258,0.39957716701902746
CSGS2,q1_2020,4,recent_power_outage,5824,473,0.08121565934065934,0.783365658866,0.31044593112418817,0.11182836525592604,0.39112050739957716
CSGS2,q1_2020,4,weather_outage,5824,473,0.08121565934065934,0.8913822592682877,0.4210693080284872,0.08204193026113617,0.5221987315010571
CSGS2,q2_2020,1,clean,5824,337,0.05786401098901099,0.8695754572853343,0.25230457232933656,0.0828580730816768,0.49258160237388726
CSGS2,q2_2020,1,combined_outage,5824,337,0.05786401098901099,0.6880998464674257,0.10345438851176925,0.05550249707266736,0.21068249258160238
CSGS2,q2_2020,1,irradiance_outage,5824,337,0.05786401098901099,0.8603445749029673,0.2540887779718662,0.07277231609395098,0.486646884272997
CSGS2,q2_2020,1,recent_power_outage,5824,337,0.05786401098901099,0.7267547410415446,0.10987015875046269,0.05447897893248839,0.19287833827893175
CSGS2,q2_2020,1,weather_outage,5824,337,0.05786401098901099,0.8667971071629246,0.2501015832904387,0.08470499671572193,0.4896142433234421
CSGS2,q2_2020,4,clean,5824,557,0.09563873626373626,0.8388879439373709,0.31186913087251905,0.10410370623703905,0.3518850987432675
CSGS2,q2_2020,4,combined_outage,5824,557,0.09563873626373626,0.5461093922083199,0.14036090519972458,0.10329786542814735,0.20287253141831238
CSGS2,q2_2020,4,irradiance_outage,5824,557,0.09563873626373626,0.8272259544966645,0.291763709863331,0.10462921217768707,0.3123877917414722
CSGS2,q2_2020,4,recent_power_outage,5824,557,0.09563873626373626,0.7678509768658826,0.203841772797977,0.09037078172693905,0.236983842010772
CSGS2,q2_2020,4,weather_outage,5824,557,0.09563873626373626,0.8328911187472283,0.3073986947007618,0.10410756423689309,0.3357271095152603
CSGS2,q3_2020,1,clean,5888,251,0.04262907608695652,0.861320373994531,0.20123310316641255,0.06676960907999761,0.49800796812749004
CSGS2,q3_2020,1,combined_outage,5888,251,0.04262907608695652,0.5924780565515126,0.06444316358763372,0.04474151794922556,0.1752988047808765
CSGS2,q3_2020,1,irradiance_outage,5888,251,0.04262907608695652,0.8551933829344676,0.1928824668917961,0.06813967387055697,0.4581673306772908
CSGS2,q3_2020,1,recent_power_outage,5888,251,0.04262907608695652,0.689641646294015,0.0855140816302876,0.05158961248088701,0.24302788844621515
CSGS2,q3_2020,1,weather_outage,5888,251,0.04262907608695652,0.8616366536691623,0.19457811448990145,0.06845028846093248,0.5139442231075697
CSGS2,q3_2020,4,clean,5888,449,0.07625679347826086,0.8798699158228271,0.3071162219116526,0.0912163332245723,0.40979955456570155
CSGS2,q3_2020,4,combined_outage,5888,449,0.07625679347826086,0.6083781613530261,0.16367865713700516,0.10001718477420483,0.289532293986637
CSGS2,q3_2020,4,irradiance_outage,5888,449,0.07625679347826086,0.8648869768818862,0.29665376659377657,0.10662601057941391,0.3986636971046771
CSGS2,q3_2020,4,recent_power_outage,5888,449,0.07625679347826086,0.7729425484754788,0.21110739151353475,0.08069522394205954,0.31403118040089084
CSGS2,q3_2020,4,weather_outage,5888,449,0.07625679347826086,0.8801843978426861,0.3020742812848794,0.09547783236358807,0.4298440979955457
CSGS2,q4_2020,1,clean,5888,260,0.044157608695652176,0.9155998851894375,0.3191143437776317,0.06097630550384,0.6384615384615384
CSGS2,q4_2020,1,combined_outage,5888,260,0.044157608695652176,0.6471584385763489,0.09062137467551541,0.0461912745638322,0.20384615384615384
CSGS2,q4_2020,1,irradiance_outage,5888,260,0.044157608695652176,0.9086586299272866,0.27992514173714317,0.06663329659428265,0.6153846153846154
CSGS2,q4_2020,1,recent_power_outage,5888,260,0.044157608695652176,0.7064488682958832,0.1422399310126636,0.045333597208450885,0.36538461538461536
CSGS2,q4_2020,1,weather_outage,5888,260,0.044157608695652176,0.9041697419495928,0.2740719946987668,0.061286396579092954,0.5961538461538461
CSGS2,q4_2020,4,clean,5888,770,0.13077445652173914,0.9333560441121987,0.6820551978931867,0.08624916814854976,0.548051948051948
CSGS2,q4_2020,4,combined_outage,5888,770,0.13077445652173914,0.7156634592449365,0.2866720222684193,0.12803830246928294,0.2519480519480519
CSGS2,q4_2020,4,irradiance_outage,5888,770,0.13077445652173914,0.9257505975852987,0.6655601632039531,0.08851525463787953,0.5142857142857142
CSGS2,q4_2020,4,recent_power_outage,5888,770,0.13077445652173914,0.7886254523124393,0.3720823489003605,0.12041484908288255,0.33116883116883117
CSGS2,q4_2020,4,weather_outage,5888,770,0.13077445652173914,0.9354956786082226,0.7095407834577117,0.08166994163401217,0.5454545454545454
CSGS5,q1_2020,1,clean,3706,334,0.0901241230437129,0.8662585860307854,0.3585136684320809,0.10205662773626933,0.4311377245508982
CSGS5,q1_2020,1,combined_outage,3706,334,0.0901241230437129,0.5163800512853297,0.08774512840610864,0.08821598199310521,0.05089820359281437
CSGS5,q1_2020,1,irradiance_outage,3706,334,0.0901241230437129,0.8489262578046755,0.32908578304869524,0.08187787175350726,0.4341317365269461
CSGS5,q1_2020,1,recent_power_outage,3706,334,0.0901241230437129,0.7516310794780546,0.17583977552044616,0.08335492499380226,0.19161676646706588
CSGS5,q1_2020,1,weather_outage,3706,334,0.0901241230437129,0.862177335720019,0.358119418065822,0.11071805231661722,0.4281437125748503
CSGS5,q1_2020,4,clean,3439,543,0.15789473684210525,0.8486844113427551,0.5032498005775934,0.13339449540914644,0.3296500920810313
CSGS5,q1_2020,4,combined_outage,3439,543,0.15789473684210525,0.5120182279743191,0.1804916875754156,0.1516516008497972,0.13996316758747698
CSGS5,q1_2020,4,irradiance_outage,3439,543,0.15789473684210525,0.8266587304009849,0.4302684925435153,0.12157450298455223,0.3296500920810313
CSGS5,q1_2020,4,recent_power_outage,3439,543,0.15789473684210525,0.691371473194754,0.274087600573532,0.13472862613269582,0.22283609576427257
CSGS5,q1_2020,4,weather_outage,3439,543,0.15789473684210525,0.8262008689193451,0.4240165621648065,0.1346769465699667,0.30939226519337015
CSGS5,q2_2020,1,clean,4698,658,0.14005959982971478,0.8495463300129404,0.41245432594700954,0.14358011173775403,0.3343465045592705
CSGS5,q2_2020,1,combined_outage,4698,658,0.14005959982971478,0.5183939480574198,0.13334898362810604,0.12541850604615806,0.041033434650455926
CSGS5,q2_2020,1,irradiance_outage,4698,658,0.14005959982971478,0.8392144286617111,0.40335012681904364,0.11046349315842809,0.31155015197568386
CSGS5,q2_2020,1,recent_power_outage,4698,658,0.14005959982971478,0.6863494613139126,0.21623564540510187,0.11576032897264456,0.15653495440729484
CSGS5,q2_2020,1,weather_outage,4698,658,0.14005959982971478,0.8452688163953173,0.4032674369358511,0.14419813825361463,0.3221884498480243
CSGS5,q2_2020,4,clean,4426,659,0.14889290555806597,0.7910949371448321,0.34289085436743,0.16048954244008554,0.26100151745068284
CSGS5,q2_2020,4,combined_outage,4426,659,0.14889290555806597,0.537193050583435,0.17481896226301324,0.16367458969351834,0.1456752655538695
CSGS5,q2_2020,4,irradiance_outage,4426,659,0.14889290555806597,0.7471216977723244,0.3034594943756568,0.15313280160904583,0.21851289833080426
CSGS5,q2_2020,4,recent_power_outage,4426,659,0.14889290555806597,0.6434738140057434,0.24038756847623988,0.138875051725858,0.17905918057663125
CSGS5,q2_2020,4,weather_outage,4426,659,0.14889290555806597,0.776820145235378,0.31103556990560677,0.1676235728526365,0.22003034901365706
CSGS5,q3_2020,1,clean,4594,588,0.1279930343926861,0.8592476930862212,0.41808153306203544,0.14161240471768813,0.3622448979591837
CSGS5,q3_2020,1,combined_outage,4594,588,0.1279930343926861,0.4836783939736654,0.11278852581525262,0.11751633519760137,0.01870748299319728
CSGS5,q3_2020,1,irradiance_outage,4594,588,0.1279930343926861,0.8472425290635475,0.4105099552146115,0.106443939129558,0.36054421768707484
CSGS5,q3_2020,1,recent_power_outage,4594,588,0.1279930343926861,0.7083498901307903,0.19612712025988022,0.1180010046917647,0.13095238095238096
CSGS5,q3_2020,1,weather_outage,4594,588,0.1279930343926861,0.8572831653879726,0.42416323530565575,0.14145905545652518,0.358843537414966
CSGS5,q3_2020,4,clean,4320,527,0.12199074074074075,0.8146375701569504,0.35955056328730767,0.14036463761199566,0.3092979127134725
CSGS5,q3_2020,4,combined_outage,4320,527,0.12199074074074075,0.483566051715159,0.11611552330557753,0.13817547089896462,0.09487666034155598
CSGS5,q3_2020,4,irradiance_outage,4320,527,0.12199074074074075,0.7558785758845691,0.2352859048096439,0.13129802903896515,0.20872865275142316
CSGS5,q3_2020,4,recent_power_outage,4320,527,0.12199074074074075,0.6137294256722785,0.15591803009341262,0.12242900075295246,0.13851992409867173
CSGS5,q3_2020,4,weather_outage,4320,527,0.12199074074074075,0.8081883085339967,0.3632994665318285,0.15747882832435894,0.2998102466793169
CSGS5,q4_2020,1,clean,3669,297,0.08094848732624693,0.872132255732493,0.33840656313259193,0.09259306569742348,0.4781144781144781
CSGS5,q4_2020,1,combined_outage,3669,297,0.08094848732624693,0.560825734609839,0.09840170400911599,0.10403007070154685,0.12457912457912458
CSGS5,q4_2020,1,irradiance_outage,3669,297,0.08094848732624693,0.8559981986731691,0.3208171602463517,0.08032450800145725,0.4511784511784512
CSGS5,q4_2020,1,recent_power_outage,3669,297,0.08094848732624693,0.71829904421838,0.16379034026066805,0.09349991604357785,0.21548821548821548
CSGS5,q4_2020,1,weather_outage,3669,297,0.08094848732624693,0.8720179253987083,0.33868444008594006,0.09907452921468385,0.4882154882154882
CSGS5,q4_2020,4,clean,3393,482,0.14205717653993516,0.8742978058615838,0.5801639790586458,0.131852033642048,0.42738589211618255
CSGS5,q4_2020,4,combined_outage,3393,482,0.14205717653993516,0.529767258545708,0.17272585300895998,0.1467099922244093,0.16390041493775934
CSGS5,q4_2020,4,irradiance_outage,3393,482,0.14205717653993516,0.8210144380094961,0.4184521189157626,0.13666335683498063,0.3236514522821577
CSGS5,q4_2020,4,recent_power_outage,3393,482,0.14205717653993516,0.6782222532645523,0.3124907465535694,0.1440222477731118,0.26556016597510373
CSGS5,q4_2020,4,weather_outage,3393,482,0.14205717653993516,0.8497803438381528,0.510878841992547,0.1288346505777207,0.35477178423236516
CSGS6,q1_2020,1,clean,5824,366,0.06284340659340659,0.9175389511961186,0.41639245745293946,0.06304634229015411,0.6120218579234973
CSGS6,q1_2020,1,combined_outage,5824,366,0.06284340659340659,0.7155806786849204,0.10913577989219847,0.10204270619079304,0.15846994535519127
CSGS6,q1_2020,1,irradiance_outage,5824,366,0.06284340659340659,0.8843543442522832,0.3594640778956756,0.09678605491148677,0.592896174863388
CSGS6,q1_2020,1,recent_power_outage,5824,366,0.06284340659340659,0.8688079061767255,0.35225429615007153,0.06772045026409877,0.5573770491803278
CSGS6,q1_2020,1,weather_outage,5824,366,0.06284340659340659,0.9151175794492268,0.40929053916038255,0.0682874132211678,0.6092896174863388
CSGS6,q1_2020,4,clean,5824,1210,0.20776098901098902,0.9533348020935206,0.8498815717727917,0.0879104184342144,0.44297520661157025
CSGS6,q1_2020,4,combined_outage,5824,1210,0.20776098901098902,0.7191602453187746,0.47878242856024855,0.2197922954812327,0.3165289256198347
