station,fold,horizon_steps,method,worst_undercoverage,mean_abs_coverage_error,mean_normalized_width,mean_normalized_interval_score
CSGS2,q1_2020,1,clean_condition_cqr,0.6704918032786885,0.21540373320623885,0.3089511718318288,0.5995831749193922
CSGS2,q1_2020,1,lgbm_condition_cqr,0.5994535519125683,0.19963625020948306,0.31933544304997585,0.564040709235948
CSGS2,q1_2020,1,oracle_ramp_mondrian,0.0765644389292679,0.025309603866306717,0.23755476361052455,0.30858890726217447
CSGS2,q1_2020,1,persistence_condition_cqr,0.9,0.31304568523001486,0.33158509277860737,0.8205164950345554
CSGS2,q1_2020,1,robust_condition_cqr,0.5174863387978142,0.23150090622617583,0.15670989030872864,0.46620480674286496
CSGS2,q1_2020,1,robust_local_cqr,0.34808743169398915,0.16265861864200726,0.18501966374718462,0.3916835645552792
CSGS2,q1_2020,1,robust_risk_mondrian,0.39726775956284155,0.19710480353152127,0.16980425569962276,0.426719019368296
CSGS2,q1_2020,1,robust_rolling_cqr,0.5174863387978142,0.21375313255894834,0.16427318065751267,0.4555326452313648
CSGS2,q1_2020,4,clean_condition_cqr,0.3312896405919662,0.10269144926774665,0.2968974308508575,0.49313654692438985
CSGS2,q1_2020,4,lgbm_condition_cqr,0.312262156448203,0.10627353445622578,0.31509994091104077,0.44522966385332613
CSGS2,q1_2020,4,oracle_ramp_mondrian,0.06875350401794056,0.027635947994150988,0.2543210203827438,0.36859901136439593
CSGS2,q1_2020,4,persistence_condition_cqr,0.5469344608879493,0.21913044646374216,0.498405906663571,0.8243867622113628
CSGS2,q1_2020,4,robust_condition_cqr,0.2974630021141649,0.1175835936694372,0.20379332923072532,0.4333302273579623
CSGS2,q1_2020,4,robust_local_cqr,0.17484143763213533,0.06913069537495313,0.2323788044650404,0.37928122740565395
CSGS2,q1_2020,4,robust_risk_mondrian,0.16849894291754763,0.07135114141594132,0.2284214284898501,0.3958639855149325
CSGS2,q1_2020,4,robust_rolling_cqr,0.26152219873150107,0.0892704807502737,0.22747482238555689,0.40611033745951347
CSGS2,q2_2020,1,clean_condition_cqr,0.6537091988130563,0.2937462542973167,0.26095549513294003,0.9273357604788346
CSGS2,q2_2020,1,lgbm_condition_cqr,0.46676557863501483,0.25424938038060285,0.2781898509738121,0.8290140608544077
CSGS2,q2_2020,1,oracle_ramp_mondrian,0.05727002967359052,0.026512755533851528,0.26763435533410396,0.36375105984186734
CSGS2,q2_2020,1,persistence_condition_cqr,0.9,0.313217613360741,0.2853911691067814,1.0387102092806597
