horizon_steps,method,stations,mean_improvement,median_improvement,min_improvement,max_improvement,stations_improved_n,stations_improved_prop,stations_improved_ge_0_05_n,mean_delta_method_minus_baseline,station_bootstrap_ci_low,station_bootstrap_ci_high,max_method_worst_undercoverage,mean_clean_score_ratio,comparative_gate_passed,absolute_reliability_gate_passed
1,robust_local_cqr,5,0.11678911468093714,0.11606950968653107,0.09858033336079308,0.13974153167615255,5,1.0,5,-0.11678911468093714,-0.12911764447240953,-0.10560778893151591,0.44411764705882356,0.8706676465112709,True,False
1,robust_risk_mondrian,5,0.08790338633022284,0.08823529411764708,0.056431210527273734,0.12157534246575341,5,1.0,5,-0.08790338633022284,-0.10760022238754004,-0.06902867918099269,0.4661764705882353,0.9030584377690257,True,False
1,robust_rolling_cqr,5,0.00463573339858594,0.0015913952084165572,-0.007352941176470562,0.023803226659613874,3,0.6,0,-0.00463573339858594,-0.014918494079134948,0.0030660884039250603,0.5617647058823529,0.9893842927123975,False,False
4,robust_local_cqr,5,0.08993162368987348,0.11968348170128584,0.03030303030303033,0.12849162011173187,5,1.0,3,-0.08993162368987348,-0.12438197017776173,-0.051830198892333326,0.3761904761904762,0.9328312934114974,True,False
4,robust_risk_mondrian,5,0.0629981299068591,0.06145251396648044,0.021645021645021634,0.12457251737448805,5,1.0,3,-0.0629981299068591,-0.0962076297343539,-0.034451132296674056,0.3848484848484849,0.9538792858338715,True,False
4,robust_rolling_cqr,5,0.031739900150272116,0.03594080338266381,0.004329004329004349,0.06843575418994419,5,1.0,1,-0.031739900150272116,-0.05543777386703204,-0.013882718759111934,0.40216450216450217,0.989905003615586,False,False
