station,horizon_steps,horizon_minutes,method,groups,folds,worst_group_undercoverage,q90_group_undercoverage,mean_group_absolute_coverage_error,mean_normalized_width,mean_normalized_interval_score,clean_normalized_interval_score,mean_mae
CSGS2,1,15,clean_condition_cqr,40,4,0.6884615384615385,0.6483679525222552,0.22787678077454773,0.2975825979351381,0.6863205198573169,0.5750992170977003,16.17813042740206
CSGS2,1,15,lgbm_condition_cqr,40,4,0.5994535519125683,0.5381860535998084,0.20268892041453873,0.308996256915085,0.6191112238894938,0.4715892310025833,16.833449805071975
CSGS2,1,15,oracle_ramp_mondrian,40,4,0.0765644389292679,0.03569390550102717,0.026917827591189714,0.2504104173067981,0.322975568360017,0.28984983320963886,9.070945842633895
CSGS2,1,15,persistence_condition_cqr,40,4,0.9,0.9,0.3201040195560987,0.3000123311022066,0.9302013759325959,0.9756559647833278,16.886389694969928
CSGS2,1,15,robust_condition_cqr,40,4,0.5174863387978142,0.4846784966957097,0.2142686708690294,0.17035881615242943,0.460625207014221,0.4717575601052101,9.070945842633895
CSGS2,1,15,robust_local_cqr,40,4,0.3777448071216617,0.3464023686674069,0.15488740084681757,0.1994037012696225,0.3995457883771699,0.3915539820658991,9.070945842633895
CSGS2,1,15,robust_risk_mondrian,40,4,0.4400593471810089,0.3973417804193064,0.1827756863956561,0.18236607980594682,0.4284936521389297,0.42312416010091625,9.070945842633895
CSGS2,1,15,robust_rolling_cqr,40,4,0.5174863387978142,0.47363273225291036,0.20581536188449565,0.17273982268848936,0.4569593642350996,0.4662510465240525,9.070945842633895
CSGS2,4,60,clean_condition_cqr,40,4,0.3488330341113106,0.2897614013893085,0.10959088561871302,0.30695948047336574,0.5655941663866783,0.494869068221658,13.052385962103983
CSGS2,4,60,lgbm_condition_cqr,40,4,0.312262156448203,0.26947935368043097,0.09643802140732327,0.31674715222887,0.4849446515542398,0.4213209811752539,13.886430177782103
CSGS2,4,60,oracle_ramp_mondrian,40,4,0.07235188509874324,0.0633752244165171,0.031384587842895925,0.2671832957356946,0.37978096256377797,0.3663343653129897,9.040951793417124
CSGS2,4,60,persistence_condition_cqr,40,4,0.9,0.9,0.32098017294725356,0.4579191609554121,1.0032765909286725,1.0124734513433058,26.202219628980004
CSGS2,4,60,robust_condition_cqr,40,4,0.2974630021141649,0.24318030806402902,0.1034738701404097,0.21277043418124375,0.4285666983344112,0.4244723245050404,9.040951793417124
CSGS2,4,60,robust_local_cqr,40,4,0.17484143763213533,0.13777598961516133,0.0655247345998401,0.24129317418706409,0.39122127788213074,0.3856694389025476,9.040951793417124
CSGS2,4,60,robust_risk_mondrian,40,4,0.17289048473967683,0.14757630161579893,0.06992618463099072,0.23547730419293647,0.4080041019703679,0.39320646053929115,9.040951793417124
CSGS2,4,60,robust_rolling_cqr,40,4,0.26152219873150107,0.20165660192590176,0.09497242711841283,0.21668208085912072,0.4220755028071908,0.41718516438191455,9.040951793417124
CSGS5,1,15,clean_condition_cqr,40,4,0.5796407185628742,0.4988384350086478,0.1646717363743507,0.3700148881793579,0.6789523532565609,0.5961199575658633,15.901485680750985
CSGS5,1,15,lgbm_condition_cqr,40,4,0.39401197604790417,0.33287331266054676,0.12154124146436578,0.3863646376657416,0.5952966908057701,0.4848372781557435,16.474259332641363
CSGS5,1,15,oracle_ramp_mondrian,40,4,0.22947805456702253,0.01824921816025023,0.021539215076286297,0.3413172036927767,0.42474952222221296,0.38215957120047117,9.675987583383769
CSGS5,1,15,persistence_condition_cqr,40,4,0.9,0.9,0.3091798769129946,0.19274350398994985,0.9536527850524769,0.953652785052477,11.302850880344499
CSGS5,1,15,robust_condition_cqr,40,4,0.36960486322188457,0.3410925868627487,0.1566713239177246,0.26629234176342426,0.5173579521216639,0.5040911781830796,9.675987583383769
CSGS5,1,15,robust_local_cqr,40,4,0.2535353535353535,0.20779350390128842,0.11408023953907245,0.29383366679402945,0.4761370850625464,0.4510890200512583,9.675987583383769
CSGS5,1,15,robust_risk_mondrian,40,4,0.31317365269461084,0.27086435032670225,0.1316692919868331,0.27962090693493574,0.4953892140403209,0.46992357126163486,9.675987583383769
CSGS5,1,15,robust_rolling_cqr,40,4,0.368013468013468,0.3257323736365653,0.1472460539884483,0.27436361069215653,0.5059465339924106,0.49941717755437937,9.675987583383769
CSGS5,4,60,clean_condition_cqr,40,4,0.3142640364188164,0.27215102817450315,0.10949584641747241,0.40755528150209896,0.6803897179824904,0.6217836288026513,15.092169355612048
CSGS5,4,60,lgbm_condition_cqr,40,4,0.3659300184162063,0.23558759924501207,0.08971720069895725,0.4264961942850604,0.6132248222065663,0.5523559544005039,16.43549883176494
CSGS5,4,60,oracle_ramp_mondrian,40,4,0.21975138121546967,0.03341782054515027,0.02684902607828025,0.4117189435892721,0.5178199976162532,0.48238202783251466,11.128290856529308
CSGS5,4,60,persistence_condition_cqr,40,4,0.9,0.7236514522821577,0.3322094375446687,0.38202454954404,1.0343670668781164,1.0343670668781164,19.58412352513623
CSGS5,4,60,robust_condition_cqr,40,4,0.2065250379362671,0.177857962825123,0.09197949376058853,0.3477930298106838,0.5665053129319909,0.541302555126284,11.128290856529308
CSGS5,4,60,robust_local_cqr,40,4,0.1579666160849773,0.12959028831562977,0.06905526626394609,0.3666766578271422,0.5370259914687573,0.5127145355878018,11.128290856529308
CSGS5,4,60,robust_risk_mondrian,40,4,0.1665745856353591,0.1397629667168645,0.07309004522176012,0.35982911704885867,0.5501613058784065,0.5241834023186597,11.128290856529308
CSGS5,4,60,robust_rolling_cqr,40,4,0.1941176470588235,0.183763277693475,0.07959715259869002,0.35077061773055923,0.5576312359592316,0.5417779718738551,11.128290856529308
CSGS6,1,15,clean_condition_cqr,40,4,0.6021857923497268,0.5406665405814332,0.17928969439453563,0.3655046727854411,0.6668498221908503,0.6142588516021179,4.668572504830572
