station,fold,horizon_steps,threshold,method,condition,ramp_group,attempted_n,usable_n,covered_n,mean_width,median_width,interval_score,mae,n,unavailable_n,availability_rate,coverage,issued_coverage,service_coverage,coverage_error,undercoverage_error,overcoverage_error,service_coverage_error,service_undercoverage_error,service_overcoverage_error,normalized_width,normalized_interval_score,rmse,metric_denominator,service_denominator
CSGS2,q1_2020,1,0.075,clean_condition_cqr,clean,non_ramp,5480,5480,5228,8.646749921985982,6.727526307106018,10.15624070319814,1.6075250392752516,5480,0,1.0,0.954014598540146,0.954014598540146,0.954014598540146,0.05401459854014601,0.0,0.05401459854014601,0.05401459854014601,0.0,0.05401459854014601,0.06651346093835371,0.07812492848613954,2.921045510202427,usable_predictions,attempted_predictions
CSGS2,q1_2020,1,0.075,clean_condition_cqr,clean,ramp,344,344,126,18.38860723445582,17.725890159606934,93.47230449942656,11.678297213690225,344,0,1.0,0.36627906976744184,0.36627906976744184,0.36627906976744184,0.5337209302325582,0.5337209302325582,0.0,0.5337209302325582,0.5337209302325582,0.0,0.14145082488042937,0.7190177269186658,13.762324561985501,usable_predictions,attempted_predictions
CSGS2,q1_2020,1,0.075,clean_condition_cqr,combined_outage,non_ramp,5480,5480,5299,74.31170061348128,72.578125,81.60864728523867,20.20361293322767,5480,0,1.0,0.966970802919708,0.966970802919708,0.966970802919708,0.06697080291970803,0.0,0.06697080291970803,0.06697080291970803,0.0,0.06697080291970803,0.5716284662575483,0.6277588252710667,24.147831358945588,usable_predictions,attempted_predictions
CSGS2,q1_2020,1,0.075,clean_condition_cqr,combined_outage,ramp,344,344,322,75.7879744241404,76.1752700805664,88.53274580489757,22.666710486592248,344,0,1.0,0.936046511627907,0.936046511627907,0.936046511627907,0.03604651162790695,0.0,0.03604651162790695,0.03604651162790695,0.0,0.03604651162790695,0.5829844186472338,0.6810211215761351,29.349829390821363,usable_predictions,attempted_predictions
CSGS2,q1_2020,1,0.075,clean_condition_cqr,irradiance_outage,non_ramp,5480,5480,5273,14.529209585415105,9.939291194081306,15.51490369298067,1.714359756604,5480,0,1.0,0.9622262773722627,0.9622262773722627,0.9622262773722627,0.06222627737226272,0.0,0.06222627737226272,0.06222627737226272,0.0,0.06222627737226272,0.11176315065703926,0.11934541302292824,3.0402984882936837,usable_predictions,attempted_predictions
CSGS2,q1_2020,1,0.075,clean_condition_cqr,irradiance_outage,ramp,344,344,162,22.445607928082694,20.654946327209473,83.45505171156553,11.69540672974531,344,0,1.0,0.47093023255813954,0.47093023255813954,0.47093023255813954,0.4290697674418605,0.4290697674418605,0.0,0.4290697674418605,0.4290697674418605,0.0,0.17265852252371303,0.6419619362428117,13.737596057077134,usable_predictions,attempted_predictions
CSGS2,q1_2020,1,0.075,clean_condition_cqr,recent_power_outage,non_ramp,5480,5480,5286,71.28530182594801,69.37341690063477,79.08344322190668,18.670877234987152,5480,0,1.0,0.9645985401459855,0.9645985401459855,0.9645985401459855,0.06459854014598543,0.0,0.06459854014598543,0.06459854014598543,0.0,0.06459854014598543,0.5483484755842155,0.6083341786300513,22.997051871808107,usable_predictions,attempted_predictions
CSGS2,q1_2020,1,0.075,clean_condition_cqr,recent_power_outage,ramp,344,344,323,73.35307371893595,73.22503662109375,86.46424455420916,22.69703844432221,344,0,1.0,0.938953488372093,0.938953488372093,0.938953488372093,0.038953488372093004,0.0,0.038953488372093004,0.038953488372093004,0.0,0.038953488372093004,0.5642544132225842,0.6651095734939166,29.351142223436188,usable_predictions,attempted_predictions
CSGS2,q1_2020,1,0.075,clean_condition_cqr,weather_outage,non_ramp,5480,5480,5224,8.636747956480537,7.1534037590026855,10.162616595395404,1.6363612614259342,5480,0,1.0,0.9532846715328467,0.9532846715328467,0.9532846715328467,0.05328467153284666,0.0,0.05328467153284666,0.05328467153284666,0.0,0.05328467153284666,0.06643652274215797,0.07817397381073388,2.9726478132208167,usable_predictions,attempted_predictions
CSGS2,q1_2020,1,0.075,clean_condition_cqr,weather_outage,ramp,344,344,122,18.23836497927821,17.87787628173828,96.08655627522357,11.896105585056683,344,0,1.0,0.3546511627906977,0.3546511627906977,0.3546511627906977,0.5453488372093023,0.5453488372093023,0.0,0.5453488372093023,0.5453488372093023,0.0,0.14029511522521698,0.7391273559632583,13.926724618474239,usable_predictions,attempted_predictions
