station,fold,horizon_steps,method_base,condition,ramp_group,attempted_n_base,usable_n_base,covered_n_base,mean_width_base,median_width_base,interval_score_base,mae_base,n_base,unavailable_n_base,availability_rate_base,coverage_base,issued_coverage_base,service_coverage_base,coverage_error_base,undercoverage_error_base,overcoverage_error_base,service_coverage_error_base,service_undercoverage_error_base,service_overcoverage_error_base,normalized_width_base,normalized_interval_score_base,rmse_base,metric_denominator_base,service_denominator_base,ramp_prevalence_base,eligible_for_conditional_metrics_base,method_local,attempted_n_local,usable_n_local,covered_n_local,mean_width_local,median_width_local,interval_score_local,mae_local,n_local,unavailable_n_local,availability_rate_local,coverage_local,issued_coverage_local,service_coverage_local,coverage_error_local,undercoverage_error_local,overcoverage_error_local,service_coverage_error_local,service_undercoverage_error_local,service_overcoverage_error_local,normalized_width_local,normalized_interval_score_local,rmse_local,metric_denominator_local,service_denominator_local,ramp_prevalence_local,eligible_for_conditional_metrics_local,undercoverage_improvement,coverage_error_improvement,interval_score_change,width_change
CSGS2,q1_2020,1,robust_condition_cqr,clean,non_ramp,5641,5641,5233,10.791072234437411,7.643857002258301,12.659200358384997,1.9398600376747512,5641,0,1.0,0.9276723985109023,0.9276723985109023,0.9276723985109023,0.027672398510902307,0.0,0.027672398510902307,0.027672398510902307,0.0,0.027672398510902307,0.08300824795721086,0.09737846429526921,3.5249208568268475,usable_predictions,attempted_predictions,0.9685782967032966,True,robust_local_cqr,5641,5641,5282,12.481768599432836,9.455728530883789,13.419752119158234,1.9398600376747512,5641,0,1.0,0.9363588016309166,0.9363588016309166,0.9363588016309166,0.03635880163091654,0.0,0.03635880163091654,0.03635880163091654,0.0,0.03635880163091654,0.09601360461102182,0.10322886245506334,3.5249208568268475,usable_predictions,attempted_predictions,0.9685782967032966,True,0.0,-0.00868640312001423,0.7605517607732377,1.690696364995425
CSGS2,q1_2020,1,robust_condition_cqr,clean,ramp,183,183,75,23.809249976293636,23.203392028808594,108.87601529509644,14.545340506105475,183,0,1.0,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4901639344262295,0.4901639344262295,0.0,0.4901639344262295,0.4901639344262295,0.0,0.18314807674072028,0.8375078099622802,16.47607681354227,usable_predictions,attempted_predictions,0.031421703296703296,True,robust_local_cqr,183,183,94,28.20612051838734,27.98740577697754,89.01316187160262,14.545340506105475,183,0,1.0,0.5136612021857924,0.5136612021857924,0.5136612021857924,0.38633879781420766,0.38633879781420766,0.0,0.38633879781420766,0.38633879781420766,0.0,0.21697015783374876,0.6847166297815586,16.47607681354227,usable_predictions,attempted_predictions,0.031421703296703296,True,0.10382513661202186,0.10382513661202186,-19.862853423493817,4.396870542093705
CSGS2,q1_2020,1,robust_condition_cqr,combined_outage,non_ramp,5641,5641,5011,17.47040672741858,15.543926239013672,29.51084962120305,4.95141095714041,5641,0,1.0,0.8883176741712462,0.8883176741712462,0.8883176741712462,0.011682325828753837,0.011682325828753837,0.0,0.011682325828753837,0.011682325828753837,0.0,0.134387744057066,0.22700653554771577,8.755722967212648,usable_predictions,attempted_predictions,0.9685782967032966,True,robust_local_cqr,5641,5641,5080,19.5981769177008,16.679790496826172,25.849460174822728,4.95141095714041,5641,0,1.0,0.9005495479524906,0.9005495479524906,0.9005495479524906,0.0005495479524906255,0.0,0.0005495479524906255,0.0005495479524906255,0.0,0.0005495479524906255,0.15075520705923692,0.19884200134479021,8.755722967212648,usable_predictions,attempted_predictions,0.9685782967032966,True,0.011682325828753837,0.011132777876263211,-3.6613894463803227,2.12777019028222
CSGS2,q1_2020,1,robust_condition_cqr,combined_outage,ramp,183,183,100,30.496225816630275,29.57093906402588,101.36134333004716,13.689840993594602,183,0,1.0,0.546448087431694,0.546448087431694,0.546448087431694,0.353551912568306,0.353551912568306,0.0,0.353551912568306,0.353551912568306,0.0,0.2345863524356175,0.7797026410003628,16.308888995140773,usable_predictions,attempted_predictions,0.031421703296703296,True,robust_local_cqr,183,183,113,35.59500841926682,36.25260543823242,85.28820152922732,13.689840993594602,183,0,1.0,0.6174863387978142,0.6174863387978142,0.6174863387978142,0.2825136612021858,0.2825136612021858,0.0,0.2825136612021858,0.2825136612021858,0.0,0.27380775707128324,0.656063088686364,16.308888995140773,usable_predictions,attempted_predictions,0.031421703296703296,True,0.07103825136612019,0.07103825136612019,-16.07314180081984,5.098782602636543
CSGS2,q1_2020,1,robust_condition_cqr,irradiance_outage,non_ramp,5641,5641,5295,12.12980099444249,9.203203201293945,13.570938907506893,2.085194602499055,5641,0,1.0,0.9386633575607162,0.9386633575607162,0.9386633575607162,0.03866335756071615,0.0,0.03866335756071615,0.03866335756071615,0.0,0.03866335756071615,0.09330616149571147,0.10439183775005302,3.736067513473636,usable_predictions,attempted_predictions,0.9685782967032966,True,robust_local_cqr,5641,5641,5386,13.823882343231684,10.991768836975098,14.5231756011879,2.085194602499055,5641,0,1.0,0.9547952490693139,0.9547952490693139,0.9547952490693139,0.05479524906931388,0.0,0.05479524906931388,0.05479524906931388,0.0,0.05479524906931388,0.10633755648639757,0.11171673539375307,3.736067513473636,usable_predictions,attempted_predictions,0.9685782967032966,True,0.0,-0.01613189150859773,0.9522366936810069,1.6940813487891937
CSGS2,q1_2020,1,robust_condition_cqr,irradiance_outage,ramp,183,183,74,25.243783967091087,25.271596908569336,100.10703169517829,14.559465600493176,183,0,1.0,0.40437158469945356,0.40437158469945356,0.40437158469945356,0.49562841530054647,0.49562841530054647,0.0,0.49562841530054647,0.49562841530054647,0.0,0.19418295359300836,0.7700540899629099,16.415826926030466,usable_predictions,attempted_predictions,0.031421703296703296,True,robust_local_cqr,183,183,96,29.26869527498881,29.06702423095703,81.84729089762995,14.559465600493176,183,0,1.0,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.37540983606557377,0.37540983606557377,0.0,0.37540983606557377,0.37540983606557377,0.0,0.22514380980760623,0.6295945453663842,16.415826926030466,usable_predictions,attempted_predictions,0.031421703296703296,True,0.1202185792349727,0.1202185792349727,-18.259740797548346,4.0249113078977246
CSGS2,q1_2020,1,robust_condition_cqr,recent_power_outage,non_ramp,5641,5641,4858,16.107795468381145,13.521429061889648,26.767565373547257,4.470741960824466,5641,0,1.0,0.8611948236128346,0.8611948236128346,0.8611948236128346,0.03880517638716541,0.03880517638716541,0.0,0.03880517638716541,0.03880517638716541,0.0,0.12390611898754726,0.20590434902728658,8.11835773636027,usable_predictions,attempted_predictions,0.9685782967032966,True,robust_local_cqr,5641,5641,4949,18.038890614075175,15.557863235473633,24.606501930506465,4.470741960824466,5641,0,1.0,0.8773267151214323,0.8773267151214323,0.8773267151214323,0.02267328487856768,0.02267328487856768,0.0,0.02267328487856768,0.02267328487856768,0.0,0.1387606970313475,0.18928078408081897,8.11835773636027,usable_predictions,attempted_predictions,0.9685782967032966,True,0.01613189150859773,0.01613189150859773,-2.161063443040792,1.9310951456940302
CSGS2,q1_2020,1,robust_condition_cqr,recent_power_outage,ramp,183,183,105,30.496283136430336,28.822847366333008,91.802899640766,13.629796439181261,183,0,1.0,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.32622950819672136,0.32622950819672136,0.0,0.32622950819672136,0.32622950819672136,0.0,0.23458679335715643,0.7061761510828154,16.439891987070922,usable_predictions,attempted_predictions,0.031421703296703296,True,robust_local_cqr,183,183,119,34.071426798085696,33.26935577392578,78.77328995407605,13.629796439181261,183,0,1.0,0.6502732240437158,0.6502732240437158,0.6502732240437158,0.24972677595628423,0.24972677595628423,0.0,0.24972677595628423,0.24972677595628423,0.0,0.2620878984468131,0.6059483842621235,16.439891987070922,usable_predictions,attempted_predictions,0.031421703296703296,True,0.07650273224043713,0.07650273224043713,-13.029609686689952,3.5751436616553605
CSGS2,q1_2020,1,robust_condition_cqr,weather_outage,non_ramp,5641,5641,5284,10.637692499173447,7.434832572937012,12.66853366760239,1.9696704858603302,5641,0,1.0,0.9367133486970395,0.9367133486970395,0.9367133486970395,0.03671334869703946,0.0,0.03671334869703946,0.03671334869703946,0.0,0.03671334869703946,0.08182840383979574,0.09745025898155685,3.558276109340657,usable_predictions,attempted_predictions,0.9685782967032966,True,robust_local_cqr,5641,5641,5342,12.393791680925249,9.188243985176086,13.319564421022926,1.9696704858603302,5641,0,1.0,0.9469952136146074,0.9469952136146074,0.9469952136146074,0.046995213614607345,0.0,0.046995213614607345,0.046995213614607345,0.0,0.046995213614607345,0.09533685908404038,0.10245818785402251,3.558276109340657,usable_predictions,attempted_predictions,0.9685782967032966,True,0.0,-0.010281864917567884,0.6510307534205371,1.756099181751802
CSGS2,q1_2020,1,robust_condition_cqr,weather_outage,ramp,183,183,70,23.229971514699237,22.995357513427734,114.36087389103051,14.749676891363384,183,0,1.0,0.3825136612021858,0.3825136612021858,0.3825136612021858,0.5174863387978142,0.5174863387978142,0.0,0.5174863387978142,0.5174863387978142,0.0,0.17869208857460953,0.8796990299310039,16.598929422314416,usable_predictions,attempted_predictions,0.031421703296703296,True,robust_local_cqr,183,183,86,27.620324652051664,27.333171844482422,92.83247699503039,14.749676891363384,183,0,1.0,0.46994535519125685,0.46994535519125685,0.46994535519125685,0.43005464480874317,0.43005464480874317,0.0,0.43005464480874317,0.43005464480874317,0.0,0.2124640357850128,0.7140959768848492,16.598929422314416,usable_predictions,attempted_predictions,0.031421703296703296,True,0.08743169398907108,0.08743169398907108,-21.528396896000118,4.390353137352427
