station,horizon_steps,horizon_minutes,method,groups,folds,worst_group_undercoverage,q90_group_undercoverage,mean_group_absolute_coverage_error,mean_normalized_width,mean_normalized_interval_score,clean_normalized_interval_score,mean_mae,attempted_predictions,usable_predictions,unavailable_predictions,prediction_availability,minimum_group_availability,mean_group_service_coverage,worst_group_service_undercoverage
CSGS2,1,15,clean_condition_cqr,40,4,0.7306010928961749,0.6804615366427466,0.24538912995890919,0.2920002723849689,0.7018689759903264,0.5845308438526089,16.31374342162065,117120,117120,0,1.0,1.0,0.6924034914809182,0.7306010928961749
CSGS2,1,15,lgbm_condition_cqr,40,4,0.5994535519125683,0.5223107569721116,0.20162918795818632,0.3079701760940331,0.619044965039525,0.4758831250290102,16.718853462750978,117120,117120,0,1.0,1.0,0.7287346056826793,0.5994535519125683
CSGS2,1,15,oracle_ramp_mondrian,40,4,0.072106824925816,0.03923076923076922,0.024691868281521204,0.25072840948159003,0.32250533825726313,0.2903086897548307,9.08081110987489,117120,117120,0,1.0,1.0,0.8996644867325688,0.072106824925816
CSGS2,1,15,persistence_condition_cqr,40,4,0.9,0.9,0.3201040195560987,0.3000123311022066,0.9302013759325959,0.9756559647833278,16.886389694969928,117120,117120,0,1.0,1.0,0.6152408747775805,0.9
CSGS2,1,15,robust_condition_cqr,40,4,0.549402390438247,0.4998504907555353,0.22023744642443094,0.16714371213675108,0.46777725551879923,0.47959535186109903,9.08081110987489,117120,117120,0,1.0,1.0,0.702216776795875,0.549402390438247
CSGS2,1,15,robust_local_cqr,40,4,0.43005464480874317,0.3839454524817176,0.1653987364627502,0.1945193410242593,0.40471487454312705,0.4020134378164716,9.08081110987489,117120,117120,0,1.0,1.0,0.7679714205581853,0.43005464480874317
CSGS2,1,15,robust_risk_mondrian,40,4,0.46284153005464485,0.4090090966580727,0.18554927946420086,0.17992580296486757,0.4320743911528352,0.4263451193007714,9.08081110987489,117120,117120,0,1.0,1.0,0.7385645677512118,0.46284153005464485
CSGS2,1,15,robust_rolling_cqr,40,4,0.5374501992031873,0.49662334269479463,0.21174450373165069,0.17193098268739124,0.45967567364101686,0.4735302914121993,9.08081110987489,117120,117120,0,1.0,1.0,0.7080358518979081,0.5374501992031873
CSGS2,4,60,clean_condition_cqr,40,4,0.3334038054968288,0.28260273816618026,0.11137842054714593,0.31258305167286377,0.5740627071173773,0.4913108483414754,13.120809967730356,117120,117120,0,1.0,1.0,0.8255382762974817,0.3334038054968288
CSGS2,4,60,lgbm_condition_cqr,40,4,0.312262156448203,0.26290820490102357,0.09654415105424934,0.3159174026082601,0.48122891308746213,0.4216639674720555,14.029965044173888,117120,117120,0,1.0,1.0,0.8447953146324618,0.312262156448203
CSGS2,4,60,oracle_ramp_mondrian,40,4,0.09030520646319573,0.07791741472172356,0.03054960910921701,0.26377282351090525,0.38268498928964756,0.3701504406185208,8.998238245179493,117120,117120,0,1.0,1.0,0.8935418493427374,0.09030520646319573
CSGS2,4,60,persistence_condition_cqr,40,4,0.9,0.9,0.32098017294725356,0.4579191609554121,1.0032765909286725,1.0124734513433058,26.202219628980004,117120,117120,0,1.0,1.0,0.6421962804853576,0.9
CSGS2,4,60,robust_condition_cqr,40,4,0.2826638477801269,0.24117193816162544,0.10094208069780315,0.212412588932259,0.42881217824122686,0.4309127502114035,8.998238245179493,117120,117120,0,1.0,1.0,0.8223197510118352,0.2826638477801269
CSGS2,4,60,robust_local_cqr,40,4,0.16211849192100536,0.11400359066427299,0.05993606580728676,0.24443816484075614,0.39195500833826963,0.3876566535635233,8.998238245179493,117120,117120,0,1.0,1.0,0.8701371909283371,0.16211849192100536
CSGS2,4,60,robust_risk_mondrian,40,4,0.23572710951526032,0.1370401691331924,0.06656815610104952,0.23670991149743714,0.4056253891104292,0.39852380880605576,8.998238245179493,117120,117120,0,1.0,1.0,0.8573773175687783,0.23572710951526032
CSGS2,4,60,robust_rolling_cqr,40,4,0.24829443447037702,0.20760031709762414,0.09354305259204036,0.2146819676865674,0.42626422875243686,0.4252241901552064,8.998238245179493,117120,117120,0,1.0,1.0,0.8219151713019051,0.24829443447037702
CSGS5,1,15,clean_condition_cqr,40,4,0.5826347305389221,0.484424795063093,0.16664111787665997,0.36998366662939375,0.6819079327110932,0.5943903085984573,15.754337813980026,83335,83335,0,1.0,1.0,0.7688957997364495,0.5826347305389221
CSGS5,1,15,lgbm_condition_cqr,40,4,0.4059880239520958,0.34859230603911456,0.1240922160326086,0.3844596473874565,0.5943736276482325,0.4860210258376477,16.578986885206636,83335,83335,0,1.0,1.0,0.8074668794904477,0.4059880239520958
CSGS5,1,15,oracle_ramp_mondrian,40,4,0.21702253855278764,0.01553476676540157,0.022837067181188032,0.3450161653988945,0.42526721621150204,0.3816409563290833,9.701527965417124,83335,83335,0,1.0,1.0,0.9051417454138301,0.21702253855278764
CSGS5,1,15,persistence_condition_cqr,40,4,0.9,0.9,0.2753832008528935,0.372518724906252,0.9171426442152516,0.953652785052477,16.17312523606588,83335,77503,5832,0.9300173996520069,0.788552787663108,0.6372122075801523,0.9
CSGS5,1,15,robust_condition_cqr,40,4,0.38203592814371257,0.32742316784869974,0.15757171953097693,0.2671241681321032,0.5216723767603417,0.511131874905619,9.701527965417124,83335,83335,0,1.0,1.0,0.7774981231390408,0.38203592814371257
CSGS5,1,15,robust_local_cqr,40,4,0.244311377245509,0.22468799774189,0.11664167511325949,0.2906982604726927,0.48199750583112067,0.45872994179017795,9.701527965417124,83335,83335,0,1.0,1.0,0.8265458860379375,0.244311377245509
CSGS5,1,15,robust_risk_mondrian,40,4,0.30729483282674774,0.27824149680437105,0.13002705420853494,0.2827340137607141,0.49434946991960577,0.46809517141088197,9.701527965417124,83335,83335,0,1.0,1.0,0.806347056531299,0.30729483282674774
CSGS5,1,15,robust_rolling_cqr,40,4,0.36107784431137724,0.3247085853468833,0.14744058362874124,0.2715670348658857,0.5102112800663038,0.5048507506161544,9.701527965417124,83335,83335,0,1.0,1.0,0.7881835135517743,0.36107784431137724
CSGS5,4,60,clean_condition_cqr,40,4,0.33399089529590287,0.2578100761865462,0.11221494692732774,0.4028775698996155,0.679509400802336,0.6220076853149785,15.127778492700068,77890,77890,0,1.0,1.0,0.8307060098767411,0.33399089529590287
CSGS5,4,60,lgbm_condition_cqr,40,4,0.41381215469613264,0.2825852227138305,0.0971689438830675,0.4224859291131072,0.6183242514263382,0.5575988432117235,16.0994458388488,77890,77890,0,1.0,1.0,0.834276161580689,0.41381215469613264
CSGS5,4,60,oracle_ramp_mondrian,40,4,0.2532458563535912,0.028427835159583838,0.027768366107431962,0.4110058127796604,0.5255280794221797,0.4902321091438097,11.24940978365584,77890,77890,0,1.0,1.0,0.8939567459086097,0.2532458563535912
CSGS5,4,60,persistence_condition_cqr,40,4,0.9,0.7236514522821577,0.28243221488388703,0.5260799437137018,1.0249970077511759,1.0343670668781164,24.629640417637393,77890,72052,5838,0.9250481448196174,0.6970954356846473,0.6254597613503591,0.9
CSGS5,4,60,robust_condition_cqr,40,4,0.2252762430939227,0.18871759580527112,0.09071629559866895,0.34532955444276847,0.5762096902434793,0.5563020087194763,11.24940978365584,77890,77890,0,1.0,1.0,0.8347261305243417,0.2252762430939227
CSGS5,4,60,robust_local_cqr,40,4,0.17520718232044197,0.134597875569044,0.06919617695620231,0.3656337476920097,0.5434184235172148,0.5226283727662088,11.24940978365584,77890,77890,0,1.0,1.0,0.864431959303659,0.17520718232044197
CSGS5,4,60,robust_risk_mondrian,40,4,0.2149171270718232,0.1431808300196088,0.07384324282577985,0.3574661189316018,0.5619116717109602,0.5386391402142736,11.24940978365584,77890,77890,0,1.0,1.0,0.8481257456458053,0.2149171270718232
CSGS5,4,60,robust_rolling_cqr,40,4,0.21120331950207472,0.17478607723257297,0.07948375755876436,0.3564462686907089,0.5633858980314336,0.5544753134989155,11.24940978365584,77890,77890,0,1.0,1.0,0.8439680011952891,0.21120331950207472
CSGS6,1,15,clean_condition_cqr,40,4,0.6404371584699453,0.5474776345794683,0.1813097840455153,0.3670958141778623,0.6688393724271599,0.6251846801338978,4.683124380938223,117120,117120,0,1.0,1.0,0.7622625048799916,0.6404371584699453
CSGS6,1,15,lgbm_condition_cqr,40,4,0.42156057494866533,0.3793410267471959,0.12415860337364977,0.37215685114565494,0.5591885978044683,0.47929965119304063,5.012576890537808,117120,117120,0,1.0,1.0,0.8101686405565254,0.42156057494866533
CSGS6,1,15,oracle_ramp_mondrian,40,4,0.05290115290115294,0.03688524590163941,0.033855991541226635,0.2911019849780024,0.36575553723762805,0.3462983386677591,2.753162562806503,117120,117120,0,1.0,1.0,0.9127681076797647,0.05290115290115294
CSGS6,1,15,persistence_condition_cqr,40,4,0.9,0.9,0.32346436128586065,0.3468430172424032,0.9607487882758337,1.0129387576883881,5.137275328526331,117120,117120,0,1.0,1.0,0.6334524118411374,0.9
CSGS6,1,15,robust_condition_cqr,40,4,0.4109289617486339,0.38088255485075656,0.18492718454014928,0.19863819387028672,0.49107364752044413,0.4913813443513682,2.753162562806503,117120,117120,0,1.0,1.0,0.751821583327777,0.4109289617486339
CSGS6,1,15,robust_local_cqr,40,4,0.31447368421052635,0.2620416307161346,0.14052708507221207,0.22996617628231011,0.442807164028569,0.440004103575109,2.753162562806503,117120,117120,0,1.0,1.0,0.8149068239666853,0.31447368421052635
CSGS6,1,15,robust_risk_mondrian,40,4,0.3453551912568307,0.30808886971527183,0.15530494834045663,0.21772123355142076,0.4534991066648734,0.4425971981643861,2.753162562806503,117120,117120,0,1.0,1.0,0.7886100990074926,0.3453551912568307
