horizon_steps,method,stations,expected_stations,station_set_complete,missing_stations,unexpected_stations,mean_improvement,median_improvement,min_improvement,max_improvement,stations_improved_n,stations_improved_prop,stations_improved_ge_0_05_n,mean_delta_method_minus_baseline,station_bootstrap_ci_low,station_bootstrap_ci_high,max_method_worst_undercoverage,mean_clean_score_ratio,comparative_gate_passed,absolute_reliability_gate_passed
1,robust_risk_mondrian,5,5,True,,,0.07935983500479153,0.08088235294117646,0.06557377049180324,0.08904109589041098,5,1.0,5,-0.07935983500479153,-0.08641725309784055,-0.07107416538690019,0.46284153005464485,0.8961901371845069,True,False
1,robust_local_cqr,5,5,True,,,0.10992791610244583,0.10787671232876705,0.08823529411764708,0.13772455089820357,5,1.0,5,-0.10992791610244583,-0.12578566346297934,-0.09545157112805527,0.43005464480874317,0.8703036884377084,True,False
1,robust_rolling_cqr,5,5,True,,,-0.0017197687358654124,0.0,-0.02941176470588236,0.020958083832335328,2,0.4,0,0.0017197687358654124,-0.013164110026958031,0.017647058823529415,0.5374501992031873,0.9885490082029313,False,False
4,robust_risk_mondrian,5,5,True,,,0.04046052884272082,0.04693673826486655,0.01035911602209949,0.06493506493506496,5,1.0,2,-0.04046052884272082,-0.06105969764934567,-0.019861360036095975,0.3502164502164502,0.9551611980465203,False,False
4,robust_local_cqr,5,5,True,,,0.08008930521423271,0.0801186943620178,0.05006906077348072,0.12054535585912152,5,1.0,5,-0.08008930521423271,-0.10437469126028003,-0.05645478572610239,0.3632034632034632,0.9315167351059863,True,False
4,robust_rolling_cqr,5,5,True,,,0.022167034241128668,0.020771513353115667,-0.008658008658008698,0.05027932960893855,4,0.8,1,-0.022167034241128668,-0.040733379829425334,-0.005833380137767885,0.42380952380952386,0.9903022803421553,False,False
