station,fold,horizon_steps,method,condition,ramp_direction,attempted_n,usable_n,covered_n,mean_width,median_width,interval_score,mae,n,unavailable_n,availability_rate,coverage,issued_coverage,service_coverage,coverage_error,undercoverage_error,overcoverage_error,service_coverage_error,service_undercoverage_error,service_overcoverage_error,normalized_width,normalized_interval_score,rmse,metric_denominator,service_denominator,mean_interval_score
CSGS2,q1_2020,1,clean_condition_cqr,clean,down,96,96,20,20.54674083987872,20.268325805664062,140.02883625527224,15.587169298281273,96,0,1.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.6916666666666667,0.6916666666666667,0.0,0.6916666666666667,0.6916666666666667,0.0,0.15805185261445168,1.0771448942713249,17.16384431446339,usable_predictions,attempted_predictions,140.02883625527224
CSGS2,q1_2020,1,clean_condition_cqr,clean,up,87,87,14,18.80188593371161,17.330228805541992,133.2643797425018,14.956874178743911,87,0,1.0,0.16091954022988506,0.16091954022988506,0.16091954022988506,0.7390804597701149,0.7390804597701149,0.0,0.7390804597701149,0.7390804597701149,0.0,0.1446298917977816,1.0251106134038601,16.796324453872977,usable_predictions,attempted_predictions,133.2643797425018
CSGS2,q1_2020,1,clean_condition_cqr,combined_outage,down,96,96,95,74.78088172276814,74.98392105102539,74.8593897819519,17.238085139542818,96,0,1.0,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.08958333333333335,0.0,0.08958333333333335,0.08958333333333335,0.0,0.08958333333333335,0.5752375517136011,0.5758414598611685,22.11277866377088,usable_predictions,attempted_predictions,74.8593897819519
CSGS2,q1_2020,1,clean_condition_cqr,combined_outage,up,87,87,71,76.9497763973543,76.86983489990234,117.9476784015524,34.042559656603586,87,0,1.0,0.8160919540229885,0.8160919540229885,0.8160919540229885,0.08390804597701151,0.08390804597701151,0.0,0.08390804597701151,0.08390804597701151,0.0,0.5919213569027254,0.9072898338580954,40.61768356369034,usable_predictions,attempted_predictions,117.9476784015524
CSGS2,q1_2020,1,clean_condition_cqr,irradiance_outage,down,96,96,45,27.134705901145935,25.405445098876953,101.68222834169865,15.001938868314028,96,0,1.0,0.46875,0.46875,0.46875,0.43125,0.43125,0.0,0.43125,0.43125,0.0,0.20872850693189182,0.7821709872438357,16.715554934937717,usable_predictions,attempted_predictions,101.68222834169865
CSGS2,q1_2020,1,clean_condition_cqr,irradiance_outage,up,87,87,15,21.10972358200742,19.984434127807617,138.23150424059781,15.437591519849054,87,0,1.0,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.7275862068965517,0.7275862068965517,0.0,0.7275862068965517,0.7275862068965517,0.0,0.16238248909236477,1.063319263389214,17.164702203464905,usable_predictions,attempted_predictions,138.23150424059781
CSGS2,q1_2020,1,clean_condition_cqr,recent_power_outage,down,96,96,96,71.61627316474915,70.1965446472168,71.61627316474915,17.109768359611433,96,0,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.09999999999999998,0.09999999999999998,0.0,0.09999999999999998,0.5508944089596088,0.5508944089596088,22.01077857707354,usable_predictions,attempted_predictions,71.61627316474915
CSGS2,q1_2020,1,clean_condition_cqr,recent_power_outage,up,87,87,72,75.56776857924187,75.390869140625,116.26430949945559,34.158732907525426,87,0,1.0,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.07241379310344831,0.07241379310344831,0.0,0.07241379310344831,0.07241379310344831,0.0,0.5812905275326298,0.8943408423035045,40.620848291163334,usable_predictions,attempted_predictions,116.26430949945559
CSGS2,q1_2020,1,clean_condition_cqr,weather_outage,down,96,96,17,20.38728900750478,20.14307689666748,146.02900947630405,15.95040107642611,96,0,1.0,0.17708333333333334,0.17708333333333334,0.17708333333333334,0.7229166666666667,0.7229166666666667,0.0,0.7229166666666667,0.7229166666666667,0.0,0.15682530005772907,1.1233000728946465,17.51975300256739,usable_predictions,attempted_predictions,146.02900947630405
CSGS2,q1_2020,1,clean_condition_cqr,weather_outage,up,87,87,14,18.710026910935326,17.943927764892578,135.52586205252285,15.108293445631006,87,0,1.0,0.16091954022988506,0.16091954022988506,0.16091954022988506,0.7390804597701149,0.7390804597701149,0.0,0.7390804597701149,0.7390804597701149,0.0,0.14392328393027173,1.0425066311732527,16.866381579198972,usable_predictions,attempted_predictions,135.52586205252285
