station,horizon_steps,baseline_worst_undercoverage,local_worst_undercoverage,oracle_worst_undercoverage,recoverable_gap_base_to_oracle,remaining_local_to_oracle_gap,local_interval_score,oracle_interval_score
CSGS2,1,0.549402390438247,0.43005464480874317,0.072106824925816,0.477295565512431,0.3579478198829272,0.40471487454312705,0.32250533825726313
CSGS2,4,0.2826638477801269,0.16211849192100536,0.09030520646319573,0.19235864131693114,0.07181328545780963,0.39195500833826963,0.38268498928964756
CSGS5,1,0.38203592814371257,0.244311377245509,0.21702253855278764,0.16501338959092493,0.027288838692721362,0.48199750583112067,0.42526721621150204
CSGS5,4,0.2252762430939227,0.17520718232044197,0.2532458563535912,-0.027969613259668513,-0.07803867403314924,0.5434184235172148,0.5255280794221797
CSGS6,1,0.4109289617486339,0.31447368421052635,0.05290115290115294,0.358027808847481,0.2615725313093734,0.442807164028569,0.36575553723762805
CSGS6,4,0.2589385474860335,0.1611731843575419,0.06976024748646559,0.18917829999956792,0.09141293687107632,0.37916011472194894,0.3735495843937115
CSGS7,1,0.35376712328767124,0.24589041095890418,0.05625000000000002,0.2975171232876712,0.18964041095890416,0.4758419788223776,0.42395242880506057
CSGS7,4,0.18684470820969334,0.10672601384767555,0.06023738872403561,0.12660731948565773,0.04648862512363994,0.4369157212801699,0.42952261163630523
CSGS8,1,0.49558823529411766,0.4073529411764706,0.1352941176470589,0.36029411764705876,0.2720588235294117,0.22134237224053685,0.2036481142628211
CSGS8,4,0.41515151515151516,0.3632034632034632,0.2246753246753247,0.19047619047619047,0.1385281385281385,0.25975319294496274,0.2518060445400671
