station,fold,horizon_steps,method,condition,ramp_group,attempted_n,usable_n,covered_n,mean_width,median_width,interval_score,mae,n,unavailable_n,availability_rate,coverage,issued_coverage,service_coverage,coverage_error,undercoverage_error,overcoverage_error,service_coverage_error,service_undercoverage_error,service_overcoverage_error,normalized_width,normalized_interval_score,rmse,metric_denominator,service_denominator,ramp_prevalence,eligible_for_conditional_metrics
CSGS2,q1_2020,1,clean_condition_cqr,clean,non_ramp,5641,5641,5320,8.881691059080786,7.4603471755981445,11.128151477260193,1.7778683124538368,5641,0,1.0,0.943095195887254,0.943095195887254,0.943095195887254,0.04309519588725397,0.0,0.04309519588725397,0.04309519588725397,0.0,0.04309519588725397,0.06832070045446759,0.0856011652096938,3.2364366177457344,usable_predictions,attempted_predictions,0.9685782967032966,True
CSGS2,q1_2020,1,clean_condition_cqr,clean,ramp,183,183,34,19.7172196549796,19.502063751220703,136.81294709346332,15.287520798829084,183,0,1.0,0.18579234972677597,0.18579234972677597,0.18579234972677597,0.7142076502732241,0.7142076502732241,0.0,0.7142076502732241,0.7142076502732241,0.0,0.15167092042292002,1.0524072853343331,16.990113129077407,usable_predictions,attempted_predictions,0.031421703296703296,True
CSGS2,q1_2020,1,clean_condition_cqr,combined_outage,non_ramp,5641,5641,5455,74.35305572980432,72.9921646118164,81.58530442120018,20.190850632503942,5641,0,1.0,0.9670271228505584,0.9670271228505584,0.9670271228505584,0.06702712285055834,0.0,0.06702712285055834,0.06702712285055834,0.0,0.06702712285055834,0.5719465825369563,0.6275792647784629,24.191728655429586,usable_predictions,attempted_predictions,0.9685782967032966,True
CSGS2,q1_2020,1,clean_condition_cqr,combined_outage,ramp,183,183,166,75.81199558445665,76.1752700805664,95.3439860109423,25.22709761486679,183,0,1.0,0.907103825136612,0.907103825136612,0.907103825136612,0.0071038251366120075,0.0,0.0071038251366120075,0.0071038251366120075,0.0,0.0071038251366120075,0.5831691968035128,0.7334152770072485,32.26206463664834,usable_predictions,attempted_predictions,0.031421703296703296,True
CSGS2,q1_2020,1,clean_condition_cqr,irradiance_outage,non_ramp,5641,5641,5375,14.695954606841086,10.000205993652344,16.29898515096216,1.885242827094007,5641,0,1.0,0.9528452402056373,0.9528452402056373,0.9528452402056373,0.0528452402056373,0.0,0.0528452402056373,0.0528452402056373,0.0,0.0528452402056373,0.11304580466800836,0.12537680885355507,3.345025107578979,usable_predictions,attempted_predictions,0.9685782967032966,True
CSGS2,q1_2020,1,clean_condition_cqr,irradiance_outage,ramp,183,183,60,24.27037004450631,23.3984317779541,119.05811360510972,15.209052423961827,183,0,1.0,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.5721311475409836,0.5721311475409836,0.0,0.5721311475409836,0.5721311475409836,0.0,0.1866951541885101,0.9158316431162287,16.9305698428054,usable_predictions,attempted_predictions,0.031421703296703296,True
CSGS2,q1_2020,1,clean_condition_cqr,recent_power_outage,non_ramp,5641,5641,5441,71.33971871570627,69.99504089355469,79.08718522113597,18.704102277450634,5641,0,1.0,0.9645452933876972,0.9645452933876972,0.9645452933876972,0.06454529338769721,0.0,0.06454529338769721,0.06454529338769721,0.0,0.06454529338769721,0.5487670670438943,0.6083629632395074,23.078391301326818,usable_predictions,attempted_predictions,0.9685782967032966,True
CSGS2,q1_2020,1,clean_condition_cqr,recent_power_outage,ramp,183,183,168,73.494852951967,73.22503662109375,92.84238879928172,25.215013800423,183,0,1.0,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.0180327868852459,0.0,0.0180327868852459,0.0180327868852459,0.0,0.0180327868852459,0.5653450227074385,0.7141722215329364,32.227349680993825,usable_predictions,attempted_predictions,0.031421703296703296,True
CSGS2,q1_2020,1,clean_condition_cqr,weather_outage,non_ramp,5641,5641,5315,8.86694278823138,7.6940460205078125,11.156777059590329,1.8106470485316104,5641,0,1.0,0.9422088282219465,0.9422088282219465,0.9422088282219465,0.04220882822194649,0.0,0.04220882822194649,0.04220882822194649,0.0,0.04220882822194649,0.06820725221716446,0.08582136199684869,3.2865052849806684,usable_predictions,attempted_predictions,0.9685782967032966,True
CSGS2,q1_2020,1,clean_condition_cqr,weather_outage,ramp,183,183,31,19.589902109135696,19.48443603515625,141.03570988139168,15.55005482572024,183,0,1.0,0.16939890710382513,0.16939890710382513,0.16939890710382513,0.7306010928961749,0.7306010928961749,0.0,0.7306010928961749,0.7306010928961749,0.0,0.1506915546856592,1.0848900760107052,17.212226805741825,usable_predictions,attempted_predictions,0.031421703296703296,True
