station,fold,horizon_steps,method,worst_undercoverage,mean_abs_coverage_error,mean_normalized_width,mean_normalized_interval_score,attempted_predictions,usable_predictions,unavailable_predictions,minimum_group_availability,mean_group_service_coverage
CSGS2,q1_2020,1,clean_condition_cqr,0.7306010928961749,0.2311798183285334,0.30078592557285316,0.603345806707952,29120,29120,0,1.0,0.7277918401864569
CSGS2,q1_2020,1,lgbm_condition_cqr,0.5994535519125683,0.19258783516080066,0.3145266874772902,0.5609225087063561,29120,29120,0,1.0,0.754336469040582
CSGS2,q1_2020,1,oracle_ramp_mondrian,0.06362347101577737,0.020328566322097296,0.23592820856554417,0.30244381866435666,29120,29120,0,1.0,0.8899479125799304
CSGS2,q1_2020,1,persistence_condition_cqr,0.9,0.31304568523001486,0.33158509277860737,0.8205164950345554,29120,29120,0,1.0,0.6562150841371187
CSGS2,q1_2020,1,robust_condition_cqr,0.5174863387978142,0.23365967162741946,0.15416329410384436,0.47052711675412534,29120,29120,0,1.0,0.6869501493263122
CSGS2,q1_2020,1,robust_local_cqr,0.43005464480874317,0.18854158129928905,0.17776775832165084,0.39959451961097275,29120,29120,0,1.0,0.7391981811541767
CSGS2,q1_2020,1,robust_risk_mondrian,0.46284153005464485,0.20234328486888056,0.16833201189907165,0.4256688996186709,29120,29120,0,1.0,0.7179474437253404
CSGS2,q1_2020,1,robust_rolling_cqr,0.5174863387978142,0.22278923920593083,0.16025383568860568,0.4615626932472831,29120,29120,0,1.0,0.6949203867469145
CSGS2,q1_2020,4,clean_condition_cqr,0.3334038054968288,0.10406255494319885,0.317133808071453,0.5008207921135626,29120,29120,0,1.0,0.8475720686852707
CSGS2,q1_2020,4,lgbm_condition_cqr,0.312262156448203,0.11298400686204746,0.31143216546838487,0.44351443675177543,29120,29120,0,1.0,0.846345529060779
CSGS2,q1_2020,4,oracle_ramp_mondrian,0.04259017006167076,0.022543912086140684,0.2531043301531718,0.3559786966633353,29120,29120,0,1.0,0.8792742697320411
CSGS2,q1_2020,4,persistence_condition_cqr,0.5469344608879493,0.21913044646374216,0.498405906663571,0.8243867622113628,29120,29120,0,1.0,0.7709274866328754
CSGS2,q1_2020,4,robust_condition_cqr,0.2826638477801269,0.09957900817179458,0.20351289841866738,0.40691265814915656,29120,29120,0,1.0,0.8023682913983793
CSGS2,q1_2020,4,robust_local_cqr,0.14524312896405922,0.051813713269298636,0.23533486787120492,0.3522646439623709,29120,29120,0,1.0,0.8632302037555565
CSGS2,q1_2020,4,robust_risk_mondrian,0.14312896405919662,0.05921292694693018,0.2275911261473707,0.37450475972565334,29120,29120,0,1.0,0.8489462956282894
CSGS2,q1_2020,4,robust_rolling_cqr,0.24038054968287526,0.08215851851207992,0.22074579821120593,0.3904288671114842,29120,29120,0,1.0,0.8263445650237078
CSGS2,q2_2020,1,clean_condition_cqr,0.6804154302670623,0.3134757903628701,0.25655460936800745,0.9781037466870941,29120,29120,0,1.0,0.5921046725494682
CSGS2,q2_2020,1,lgbm_condition_cqr,0.47863501483679527,0.2578590885713683,0.27632111829242867,0.8295149428797053,29120,29120,0,1.0,0.6513663533823404
CSGS2,q2_2020,1,oracle_ramp_mondrian,0.072106824925816,0.024102277895581625,0.26335319986187883,0.3655005735183013,29120,29120,0,1.0,0.8765428833947408
CSGS2,q2_2020,1,persistence_condition_cqr,0.9,0.313217613360741,0.2853911691067814,1.0387102092806597,29120,29120,0,1.0,0.5880617742827801
CSGS2,q2_2020,1,robust_condition_cqr,0.499406528189911,0.2066533522180022,0.18093270259619224,0.5406501941315105,29120,29120,0,1.0,0.6965943241078589
CSGS2,q2_2020,1,robust_local_cqr,0.40741839762611276,0.17253660797385134,0.2145980090645942,0.4744453275324605,29120,29120,0,1.0,0.7547205452975174
