horizon_steps,method,stratum,stations,eligible_groups,eligible_prediction_rows,attempted_prediction_rows,unavailable_prediction_rows,mean_station_prediction_availability,worst_station_prediction_availability,mean_station_service_coverage,mean_station_coverage,mean_station_worst_undercoverage,worst_station_worst_undercoverage,mean_normalized_width,mean_normalized_interval_score,coverage_change_vs_baseline,worst_undercoverage_improvement_vs_baseline,normalized_width_change_vs_baseline,normalized_interval_score_change_vs_baseline,aggregation_unit,within_station_group_weighting,minimum_group_n,nominal_ramp_threshold
1,clean_condition_cqr,non_ramp,5,100,508870,508870,0,1.0,1.0,0.9245104286313189,0.9245104286313189,0.08596689945892078,0.16754146163659556,0.29888061477388445,0.37546797593871933,-0.0034186188757751035,-0.022097533125411253,0.16084032778702023,0.2061453114762776,station,equal eligible fold-condition-ramp groups,80,0.1
1,clean_condition_cqr,ramp,5,100,41345,41345,0,1.0,1.0,0.5684095312888788,0.5684095312888788,0.6284087257342423,0.7306010928961749,0.38735022884636583,0.9877327403785078,-0.015029955263812234,-0.19006419795176582,0.11851825391683923,0.24861265389091858,station,equal eligible fold-condition-ramp groups,80,0.1
1,lgbm_condition_cqr,non_ramp,5,100,508870,508870,0,1.0,1.0,0.9144796795240937,0.9144796795240937,0.10829786195053955,0.21467661691542295,0.30466273666148214,0.37263789950147796,-0.013449367983000338,-0.04442849561703002,0.16662244967461792,0.20331523503903623,station,equal eligible fold-condition-ramp groups,80,0.1
1,lgbm_condition_cqr,ramp,5,100,41345,41345,0,1.0,1.0,0.637705891484352,0.637705891484352,0.4973370498809757,0.7125,0.4124023780431959,0.8617100686794622,0.054266404931660905,-0.0589925220984992,0.1435704031136693,0.122589982191873,station,equal eligible fold-condition-ramp groups,80,0.1
1,oracle_ramp_mondrian,non_ramp,5,100,508870,508870,0,1.0,1.0,0.9144993623108864,0.9144993623108864,0.0877379702190922,0.21702253855278764,0.13368035811633355,0.16879151155323788,-0.013429685196207686,-0.02386860388558268,-0.0043599288705306605,-0.000531152909203858,station,equal eligible fold-condition-ramp groups,80,0.1
1,oracle_ramp_mondrian,ramp,5,100,41345,41345,0,1.0,1.0,0.9010397014119885,0.9010397014119885,0.06862366472005876,0.1352941176470589,0.4284287650959361,0.5276599423564721,0.31760021485929746,0.36972086306241775,0.15959679016640949,-0.21146014413111713,station,equal eligible fold-condition-ramp groups,80,0.1
1,persistence_condition_cqr,non_ramp,5,100,503182,508870,5688,0.9846166328600405,0.9230831643002029,0.926488213146577,0.940273108161955,0.06051268818667825,0.07872492836676215,0.3145174316375038,0.3767602150680862,0.012344060654860933,0.003356678146831271,0.17647714465063957,0.20743755060564448,station,equal eligible fold-condition-ramp groups,80,0.1
1,persistence_condition_cqr,ramp,5,100,41201,41345,144,0.996931273308471,0.9846563665423548,0.3499991882734367,0.3530814290946225,0.8985074626865671,0.9,0.368984157243014,1.4381752017991496,-0.2303580574580686,-0.4601629349040906,0.10015218231348738,0.6990551153115604,station,equal eligible fold-condition-ramp groups,80,0.1
1,robust_condition_cqr,non_ramp,5,100,508870,508870,0,1.0,1.0,0.927929047507094,0.927929047507094,0.06386936633350952,0.1950771055753262,0.1380402869868642,0.16932266446244174,0.0,0.0,0.0,0.0,station,equal eligible fold-condition-ramp groups,80,0.1
1,robust_condition_cqr,ramp,5,100,41345,41345,0,1.0,1.0,0.5834394865526911,0.5834394865526911,0.4383445277824765,0.549402390438247,0.2688319749295266,0.7391200864875892,0.0,0.0,0.0,0.0,station,equal eligible fold-condition-ramp groups,80,0.1
1,robust_local_cqr,non_ramp,5,100,508870,508870,0,1.0,1.0,0.9447925623842632,0.9447925623842632,0.04336961981806409,0.1298339264531435,0.15005150390230773,0.17023941848961222,0.016863514877169195,0.020499746515445436,0.012011216915443518,0.0009167540271704799,station,equal eligible fold-condition-ramp groups,80,0.1
1,robust_local_cqr,ramp,5,100,41345,41345,0,1.0,1.0,0.6935261494011532,0.6935261494011532,0.32841661168003067,0.43005464480874317,0.31333489667418574,0.6404421396966804,0.11008666284846214,0.10992791610244584,0.04450292174465914,-0.0986779467909088,station,equal eligible fold-condition-ramp groups,80,0.1
1,robust_risk_mondrian,non_ramp,5,100,508870,508870,0,1.0,1.0,0.9336946087815813,0.9336946087815813,0.06069731883037519,0.16067615658362988,0.14597992068419285,0.17170392701367826,0.005765561274487241,0.00317204750313433,0.00793963369732864,0.0023812625512365238,station,equal eligible fold-condition-ramp groups,80,0.1
1,robust_risk_mondrian,ramp,5,100,41345,41345,0,1.0,1.0,0.6559233291195224,0.6559233291195224,0.35898469277768497,0.46284153005464485,0.29804469554356416,0.6676882332552498,0.07248384256683138,0.07935983500479155,0.02921272061403757,-0.07143185323233936,station,equal eligible fold-condition-ramp groups,80,0.1
1,robust_rolling_cqr,non_ramp,5,100,508870,508870,0,1.0,1.0,0.9338060710195215,0.9338060710195215,0.0005598850799085175,0.001969057665260232,0.14059346488488916,0.16703759990722547,0.0058770235124274706,0.063309481253601,0.0025531778980249498,-0.002285064555216265,station,equal eligible fold-condition-ramp groups,80,0.1
1,robust_rolling_cqr,ramp,5,100,41345,41345,0,1.0,1.0,0.5915053784930178,0.5915053784930178,0.4400642965183419,0.5374501992031873,0.27264867050369507,0.7294546720846603,0.008065891940326697,-0.001719768735865379,0.0038166955741684716,-0.009665414402928896,station,equal eligible fold-condition-ramp groups,80,0.1
