horizon_steps,method,held_out_station,remaining_stations,mean_improvement,stations_improved_prop,max_method_worst_undercoverage
1,robust_local_cqr,CSGS2,4,0.10757295872068132,1.0,0.4073529411764706
1,robust_local_cqr,CSGS5,4,0.10297875740350639,1.0,0.43005464480874317
1,robust_local_cqr,CSGS6,4,0.11329607574353039,1.0,0.43005464480874317
1,robust_local_cqr,CSGS7,4,0.11044071704586551,1.0,0.43005464480874317
1,robust_local_cqr,CSGS8,4,0.11535107159864551,1.0,0.43005464480874317
1,robust_risk_mondrian,CSGS2,4,0.07755957866008888,1.0,0.4147058823529412
1,robust_risk_mondrian,CSGS5,4,0.08051451992674821,1.0,0.46284153005464485
1,robust_risk_mondrian,CSGS6,4,0.08280635113303861,1.0,0.46284153005464485
1,robust_risk_mondrian,CSGS7,4,0.07693951978338667,1.0,0.46284153005464485
1,robust_risk_mondrian,CSGS8,4,0.0789792055206953,1.0,0.46284153005464485
1,robust_rolling_cqr,CSGS2,4,-0.005137758728596703,0.25,0.525
1,robust_rolling_cqr,CSGS5,4,-0.0073892318779155974,0.25,0.5374501992031873
1,robust_rolling_cqr,CSGS6,4,0.0008746275903781797,0.5,0.5374501992031873
1,robust_rolling_cqr,CSGS7,4,-0.0021497109198317654,0.5,0.5374501992031873
1,robust_rolling_cqr,CSGS8,4,0.0052032302566388244,0.5,0.5374501992031873
4,robust_local_cqr,CSGS2,4,0.06997529255301052,1.0,0.3632034632034632
4,robust_local_cqr,CSGS5,4,0.08759436632442072,1.0,0.3632034632034632
4,robust_local_cqr,CSGS6,4,0.075670290735668,1.0,0.3632034632034632
4,robust_local_cqr,CSGS7,4,0.08008195792728645,1.0,0.3632034632034632
4,robust_local_cqr,CSGS8,4,0.08712461853077791,1.0,0.17520718232044197
4,robust_risk_mondrian,CSGS2,4,0.03884147648718439,1.0,0.3502164502164502
4,robust_risk_mondrian,CSGS5,4,0.047985882047876155,1.0,0.3502164502164502
4,robust_risk_mondrian,CSGS6,4,0.03451420853943454,1.0,0.3502164502164502
4,robust_risk_mondrian,CSGS7,4,0.046619182319474234,1.0,0.3502164502164502
4,robust_risk_mondrian,CSGS8,4,0.03434189481963479,1.0,0.23572710951526032
4,robust_rolling_cqr,CSGS2,4,0.019116439473973373,0.75,0.42380952380952386
4,robust_rolling_cqr,CSGS5,4,0.024190561903448843,0.75,0.42380952380952386
4,robust_rolling_cqr,CSGS6,4,0.015138960399176199,0.75,0.42380952380952386
4,robust_rolling_cqr,CSGS7,4,0.02251591446313192,0.75,0.42380952380952386
4,robust_rolling_cqr,CSGS8,4,0.02987329496591301,1.0,0.24829443447037702
