station,horizon_steps,threshold,candidate_method,candidate_eligible_groups,candidate_worst_undercoverage,baseline_eligible_groups,baseline_worst_undercoverage,test_n,ramp_n,ramp_prevalence,station_improvement,absolute_gate_delta,required_minimum_coverage,candidate_absolute_gate_passed,candidate_stations,candidate_stations_passing_absolute_gate,expected_stations,candidate_station_set_complete,candidate_missing_stations,candidate_all_stations_absolute_gate_passed,is_nominal_threshold,minimum_group_n,aggregation_unit
CSGS6,1,0.1,robust_rolling_cqr,40,0.4230263157894737,40,0.4109289617486339,23424,1754,0.07488046448087432,-0.01209735404083978,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS7,1,0.1,robust_rolling_cqr,40,0.35376712328767124,40,0.35376712328767124,23424,2884,0.12312158469945356,0.0,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS8,1,0.1,robust_rolling_cqr,40,0.525,40,0.49558823529411766,23104,723,0.03129328254847646,-0.02941176470588236,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS2,1,0.15,robust_local_cqr,30,0.5888888888888889,30,0.6789473684210526,23424,372,0.015881147540983607,0.09005847953216373,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS5,1,0.15,robust_local_cqr,40,0.45414012738853504,40,0.6006369426751592,16667,979,0.05873882522349553,0.14649681528662417,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS6,1,0.15,robust_local_cqr,40,0.5,40,0.5871794871794872,23424,841,0.03590334699453552,0.0871794871794872,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS7,1,0.15,robust_local_cqr,40,0.3709480122324159,40,0.5028571428571429,23424,1688,0.07206284153005464,0.13190913062472698,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS8,1,0.15,robust_local_cqr,20,0.04878594799380065,20,0.06290683657654561,23104,66,0.0028566481994459834,0.014120888582744962,0.1,0.8,True,5,1,5,True,,False,False,80,station
CSGS2,1,0.15,robust_risk_mondrian,30,0.6185185185185185,30,0.6789473684210526,23424,372,0.015881147540983607,0.060428849902534165,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS5,1,0.15,robust_risk_mondrian,40,0.5050955414012739,40,0.6006369426751592,16667,979,0.05873882522349553,0.09554140127388533,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS6,1,0.15,robust_risk_mondrian,40,0.5307692307692308,40,0.5871794871794872,23424,841,0.03590334699453552,0.05641025641025643,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS7,1,0.15,robust_risk_mondrian,40,0.39428571428571435,40,0.5028571428571429,23424,1688,0.07206284153005464,0.10857142857142854,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS8,1,0.15,robust_risk_mondrian,20,0.07840537282589977,20,0.06290683657654561,23104,66,0.0028566481994459834,-0.015498536249354156,0.1,0.8,True,5,1,5,True,,False,False,80,station
CSGS2,1,0.15,robust_rolling_cqr,30,0.6789473684210526,30,0.6789473684210526,23424,372,0.015881147540983607,0.0,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS5,1,0.15,robust_rolling_cqr,40,0.5878980891719745,40,0.6006369426751592,16667,979,0.05873882522349553,0.01273885350318471,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS6,1,0.15,robust_rolling_cqr,40,0.589873417721519,40,0.5871794871794872,23424,841,0.03590334699453552,-0.0026939305420318194,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS7,1,0.15,robust_rolling_cqr,40,0.5028571428571429,40,0.5028571428571429,23424,1688,0.07206284153005464,0.0,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS8,1,0.15,robust_rolling_cqr,20,0.006767694162218008,20,0.06290683657654561,23104,66,0.0028566481994459834,0.0561391424143276,0.1,0.8,True,5,1,5,True,,False,False,80,station
CSGS2,4,0.15,robust_local_cqr,40,0.07059483726150395,40,0.1761133603238867,23424,4470,0.19082991803278687,0.10551852306238274,0.1,0.8,True,5,2,5,True,,False,False,80,station
CSGS5,4,0.15,robust_local_cqr,40,0.19679461812425803,40,0.24586466165413534,15578,4321,0.2773783540891,0.049070043529877316,0.1,0.8,False,5,2,5,True,,False,False,80,station
CSGS6,4,0.15,robust_local_cqr,40,0.1022382094324541,40,0.1709832134292566,23424,6079,0.25952015027322406,0.0687450039968025,0.1,0.8,False,5,2,5,True,,False,False,80,station
CSGS7,4,0.15,robust_local_cqr,40,0.07277486910994768,40,0.14280104712041886,23424,6624,0.2827868852459016,0.07002617801047117,0.1,0.8,True,5,2,5,True,,False,False,80,station
CSGS8,4,0.15,robust_local_cqr,40,0.2547169811320755,40,0.30188679245283023,23104,2773,0.12002250692520776,0.047169811320754707,0.1,0.8,False,5,2,5,True,,False,False,80,station
CSGS2,4,0.15,robust_risk_mondrian,40,0.1175249807840123,40,0.1761133603238867,23424,4470,0.19082991803278687,0.05858837953987439,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS5,4,0.15,robust_risk_mondrian,40,0.23715868618915714,40,0.24586466165413534,15578,4321,0.2773783540891,0.0087059754649782,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS6,4,0.15,robust_risk_mondrian,40,0.13341326938449238,40,0.1709832134292566,23424,6079,0.25952015027322406,0.037569944044764214,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS7,4,0.15,robust_risk_mondrian,40,0.12709424083769638,40,0.14280104712041886,23424,6624,0.2827868852459016,0.015706806282722474,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS8,4,0.15,robust_risk_mondrian,40,0.26981132075471703,40,0.30188679245283023,23104,2773,0.12002250692520776,0.0320754716981132,0.1,0.8,False,5,0,5,True,,False,False,80,station
