horizon_steps,method,stratum,stations,eligible_groups,eligible_prediction_rows,attempted_prediction_rows,unavailable_prediction_rows,mean_station_prediction_availability,worst_station_prediction_availability,mean_station_service_coverage,mean_station_coverage,mean_station_worst_undercoverage,worst_station_worst_undercoverage,mean_normalized_width,mean_normalized_interval_score,coverage_change_vs_baseline,worst_undercoverage_improvement_vs_baseline,normalized_width_change_vs_baseline,normalized_interval_score_change_vs_baseline,aggregation_unit,within_station_group_weighting,minimum_group_n,nominal_ramp_threshold
1,clean_condition_cqr,all,5,200,550215,550215,0,1.0,1.0,0.7464599799600988,0.7464599799600988,0.6284087257342423,0.7306010928961749,0.3431154218101251,0.6816003581586134,-0.009224287069793724,-0.19006419795176582,0.1396792908519297,0.22737898268359802,station,equal eligible fold-condition-ramp groups,80,0.1
1,lgbm_condition_cqr,all,5,200,550215,550215,0,1.0,1.0,0.7760927855042229,0.7760927855042229,0.4973370498809757,0.7125,0.35853255735233897,0.61717398409047,0.02040851847433034,-0.0589925220984992,0.15509642639414356,0.16295260861545457,station,equal eligible fold-condition-ramp groups,80,0.1
1,oracle_ramp_mondrian,all,5,200,550215,550215,0,1.0,1.0,0.9077695318614374,0.9077695318614374,0.1067149268053631,0.21702253855278764,0.28105456160613485,0.348225726954855,0.15208526483154483,0.3316296009771134,0.07761843064793944,-0.10599564852016041,station,equal eligible fold-condition-ramp groups,80,0.1
1,persistence_condition_cqr,all,5,200,544383,550215,5832,0.9860034799304014,0.9300173996520069,0.6382437007100069,0.6466772686282889,0.8985074626865671,0.9,0.34175079444025885,0.9074677084336178,-0.10900699840160366,-0.4601629349040906,0.13831466348206345,0.4532463329586024,station,equal eligible fold-condition-ramp groups,80,0.1
1,robust_condition_cqr,all,5,200,550215,550215,0,1.0,1.0,0.7556842670298926,0.7556842670298926,0.4383445277824765,0.549402390438247,0.2034361309581954,0.4542213754750154,0.0,0.0,0.0,0.0,station,equal eligible fold-condition-ramp groups,80,0.1
1,robust_local_cqr,all,5,200,550215,550215,0,1.0,1.0,0.8191593558927082,0.8191593558927082,0.32841661168003067,0.43005464480874317,0.23169320028824672,0.40534077909314625,0.06347508886281561,0.10992791610244584,0.028257069330051315,-0.048880596381869146,station,equal eligible fold-condition-ramp groups,80,0.1
1,robust_risk_mondrian,all,5,200,550215,550215,0,1.0,1.0,0.7948089689505519,0.7948089689505519,0.35898469277768497,0.46284153005464485,0.2220123081138785,0.419696080134464,0.03912470192065931,0.07935983500479155,0.018576177155683105,-0.034525295340551376,station,equal eligible fold-condition-ramp groups,80,0.1
1,robust_rolling_cqr,all,5,200,550215,550215,0,1.0,1.0,0.7626557247562696,0.7626557247562696,0.4400642965183419,0.5374501992031873,0.20662106769429212,0.44824613599594293,0.006971457726377084,-0.001719768735865379,0.0031849367360967107,-0.0059752394790724694,station,equal eligible fold-condition-ramp groups,80,0.1
4,clean_condition_cqr,all,5,200,544770,544770,0,1.0,1.0,0.8381256145561492,0.8381256145561492,0.3329103707429984,0.3943820224719101,0.33506153710779063,0.5577544074403078,-0.0011846871338029308,-0.0591353983987401,0.0932301344860664,0.12828232497543662,station,equal eligible fold-condition-ramp groups,80,0.2
4,lgbm_condition_cqr,all,5,200,544770,544770,0,1.0,1.0,0.8561215741927979,0.8561215741927979,0.2981566831090275,0.41515151515151516,0.3568932253789668,0.4992655313459311,0.016811272502845753,-0.024381710764769193,0.11506182275724255,0.06979344888105993,station,equal eligible fold-condition-ramp groups,80,0.2
4,oracle_ramp_mondrian,all,5,200,544770,544770,0,1.0,1.0,0.8958519040838364,0.8958519040838364,0.13964480474052257,0.2532458563535912,0.2913309676984622,0.3926182618563822,0.05654160239388428,0.13413016760373572,0.049499565076737945,-0.03685382060848896,station,equal eligible fold-condition-ramp groups,80,0.2
4,persistence_condition_cqr,all,5,200,538932,544770,5838,0.9850096289639234,0.9250481448196174,0.6742058868593572,0.6862403548415618,0.813058319235393,0.9,0.4965049374437379,0.9873801078375104,-0.15306994684839037,-0.5392833468911347,0.2546735348220137,0.5579080253726392,station,equal eligible fold-condition-ramp groups,80,0.2
4,robust_condition_cqr,all,5,200,544770,544770,0,1.0,1.0,0.8393103016899521,0.8393103016899521,0.2737749723442583,0.41515151515151516,0.24183140262172423,0.4294720824648712,0.0,0.0,0.0,0.0,station,equal eligible fold-condition-ramp groups,80,0.2
4,robust_local_cqr,all,5,200,544770,544770,0,1.0,1.0,0.880283689721369,0.880283689721369,0.1936856671300256,0.3632034632034632,0.26970045857024905,0.4022404921605133,0.04097338803141681,0.08008930521423269,0.027869055948524818,-0.0272315903043579,station,equal eligible fold-condition-ramp groups,80,0.2
4,robust_risk_mondrian,all,5,200,544770,544770,0,1.0,1.0,0.8621872414626536,0.8621872414626536,0.23331444350153746,0.3502164502164502,0.25916889500742063,0.4155890490220691,0.022876939772701443,0.04046052884272083,0.0173374923856964,-0.013883033442802062,station,equal eligible fold-condition-ramp groups,80,0.2
4,robust_rolling_cqr,all,5,200,544770,544770,0,1.0,1.0,0.8418630048033148,0.8418630048033148,0.25160793810312965,0.42380952380952386,0.24427221078904243,0.42405232611230215,0.002552703113362642,0.022167034241128647,0.0024408081673182036,-0.005419756352569027,station,equal eligible fold-condition-ramp groups,80,0.2
