station,fold,horizon_steps,condition,n,ramp_n,ramp_prevalence,roc_auc,average_precision,brier,top_decile_ramp_recall
CSGS2,q1_2020,1,clean,5824,183,0.031421703296703296,0.9074036402102872,0.22500522071671575,0.04998955014807479,0.5956284153005464
CSGS2,q1_2020,1,combined_outage,5824,183,0.031421703296703296,0.6850808338249527,0.06207557913710487,0.04570208061752977,0.21311475409836064
CSGS2,q1_2020,1,irradiance_outage,5824,183,0.031421703296703296,0.8926051750309745,0.19449201902191793,0.04447120000393586,0.546448087431694
CSGS2,q1_2020,1,recent_power_outage,5824,183,0.031421703296703296,0.7386261591800082,0.064778091537998,0.04083418715397517,0.22404371584699453
CSGS2,q1_2020,1,weather_outage,5824,183,0.031421703296703296,0.8943168817682405,0.21389208589060213,0.052974527039183726,0.546448087431694
CSGS2,q1_2020,4,clean,5824,473,0.08121565934065934,0.9024643395180526,0.45055756798406904,0.09557236171906608,0.5433403805496829
CSGS2,q1_2020,4,combined_outage,5824,473,0.08121565934065934,0.6530969888460121,0.19393510899972957,0.10857103122275057,0.3044397463002114
CSGS2,q1_2020,4,irradiance_outage,5824,473,0.08121565934065934,0.8828793732810803,0.3622838432841921,0.10180886013823255,0.4630021141649049
CSGS2,q1_2020,4,recent_power_outage,5824,473,0.08121565934065934,0.7304852622832744,0.2910110458786665,0.12182854495080404,0.38477801268498946
CSGS2,q1_2020,4,weather_outage,5824,473,0.08121565934065934,0.8977877719799464,0.45288572212246164,0.08027491609499868,0.5179704016913319
CSGS2,q2_2020,1,clean,5824,337,0.05786401098901099,0.8756180646026568,0.2571008984114848,0.08216471982762082,0.49851632047477745
CSGS2,q2_2020,1,combined_outage,5824,337,0.05786401098901099,0.6515743443228911,0.10826557343947787,0.05837604945333037,0.20474777448071216
CSGS2,q2_2020,1,irradiance_outage,5824,337,0.05786401098901099,0.8666327045474088,0.2514935879495382,0.06791058873458487,0.47477744807121663
CSGS2,q2_2020,1,recent_power_outage,5824,337,0.05786401098901099,0.7181300933038922,0.10559755099663216,0.057450157884756874,0.20474777448071216
CSGS2,q2_2020,1,weather_outage,5824,337,0.05786401098901099,0.8740010783513663,0.256212479355373,0.08143782193670855,0.486646884272997
CSGS2,q2_2020,4,clean,5824,557,0.09563873626373626,0.8452830690328557,0.3312357710327995,0.1005809824888741,0.348294434470377
CSGS2,q2_2020,4,combined_outage,5824,557,0.09563873626373626,0.630279348499294,0.15444913365013102,0.09338768878405619,0.21005385996409337
CSGS2,q2_2020,4,irradiance_outage,5824,557,0.09563873626373626,0.8310219894952446,0.29429967758363496,0.10186438041193051,0.3393177737881508
CSGS2,q2_2020,4,recent_power_outage,5824,557,0.09563873626373626,0.7269365266407588,0.19209965225008835,0.09007916907269194,0.23518850987432674
CSGS2,q2_2020,4,weather_outage,5824,557,0.09563873626373626,0.8430986403264934,0.3226938399660352,0.1013473890025591,0.34111310592459604
CSGS2,q3_2020,1,clean,5888,251,0.04262907608695652,0.8633325488183862,0.1927109923901592,0.06598653972819085,0.5059760956175299
CSGS2,q3_2020,1,combined_outage,5888,251,0.04262907608695652,0.611777124250912,0.0519076718812336,0.04292486573507498,0.099601593625498
CSGS2,q3_2020,1,irradiance_outage,5888,251,0.04262907608695652,0.8612479300467105,0.1886123421782776,0.06589777528150688,0.4860557768924303
CSGS2,q3_2020,1,recent_power_outage,5888,251,0.04262907608695652,0.6377618848713713,0.07213109804815593,0.04485012997150275,0.19123505976095617
CSGS2,q3_2020,1,weather_outage,5888,251,0.04262907608695652,0.8647149913738694,0.19571964500626066,0.06593837842188181,0.49800796812749004
CSGS2,q3_2020,4,clean,5888,449,0.07625679347826086,0.8800812084299198,0.3052885275795381,0.09054569521138302,0.41648106904231624
CSGS2,q3_2020,4,combined_outage,5888,449,0.07625679347826086,0.5962806358924717,0.1534835889241219,0.09720154225288466,0.27839643652561247
CSGS2,q3_2020,4,irradiance_outage,5888,449,0.07625679347826086,0.8665924685651062,0.2887868785111174,0.10327266767980328,0.3741648106904232
CSGS2,q3_2020,4,recent_power_outage,5888,449,0.07625679347826086,0.7972352608050985,0.2193139939736903,0.0773669233471552,0.32516703786191536
CSGS2,q3_2020,4,weather_outage,5888,449,0.07625679347826086,0.8777881103684476,0.2984805551666868,0.09464699147460688,0.40979955456570155
CSGS2,q4_2020,1,clean,5888,260,0.044157608695652176,0.9100869279973758,0.2923594128635224,0.06243295721927376,0.6230769230769231
CSGS2,q4_2020,1,combined_outage,5888,260,0.044157608695652176,0.517524328904926,0.06978252364396968,0.05300346154206122,0.19615384615384615
CSGS2,q4_2020,1,irradiance_outage,5888,260,0.044157608695652176,0.9034111721611722,0.2658512324783764,0.06063399946842425,0.5923076923076923
CSGS2,q4_2020,1,recent_power_outage,5888,260,0.044157608695652176,0.7499186758515117,0.12384488300069005,0.05074253419820578,0.25769230769230766
CSGS2,q4_2020,1,weather_outage,5888,260,0.044157608695652176,0.8978975315729046,0.26240285688999393,0.0633994233152788,0.5807692307692308
CSGS2,q4_2020,4,clean,5888,770,0.13077445652173914,0.9358324071395584,0.6916444797815173,0.0859172481526496,0.5545454545454546
CSGS2,q4_2020,4,combined_outage,5888,770,0.13077445652173914,0.6448185167704511,0.2529652380341584,0.11983173230647425,0.24025974025974026
CSGS2,q4_2020,4,irradiance_outage,5888,770,0.13077445652173914,0.9221383149870842,0.6558482130216347,0.0895486091901387,0.5207792207792208
