fold,horizon_steps,method,condition,ramp_group,n,coverage,coverage_error,mean_width,median_width,interval_score,mae,rmse,undercoverage_error,overcoverage_error,normalized_width,normalized_interval_score
q1_2020,1,clean_condition_cqr,clean,non_ramp,5567,0.9558110292796839,0.055811029279683844,3.5203148556011574,3.0123616456985474,4.184961519088875,0.5999510696844182,1.2192433414153299,0.0,0.055811029279683844,0.07040629711202315,0.08369923038177751
q1_2020,1,clean_condition_cqr,clean,ramp,257,0.41245136186770426,0.48754863813229576,8.1660716450168,7.447992324829102,43.967017376005415,5.298924901606044,6.335910327324607,0.48754863813229576,0.0,0.163321432900336,0.8793403475201083
q1_2020,1,clean_condition_cqr,combined_outage,non_ramp,5567,0.8749775462547152,0.02502245374528478,34.51952775393651,34.71249008178711,45.40402008571937,12.497017206789206,14.654609993924428,0.02502245374528478,0.0,0.6903905550787302,0.9080804017143873
q1_2020,1,clean_condition_cqr,combined_outage,ramp,257,0.9494163424124513,0.0494163424124513,35.21025754876638,35.96786880493164,39.21219826486788,8.682370233164686,11.647315383649136,0.0,0.0494163424124513,0.7042051509753275,0.7842439652973576
q1_2020,1,clean_condition_cqr,irradiance_outage,non_ramp,5567,0.9473684210526315,0.047368421052631504,11.48977968914363,12.191949605941772,12.128138320205005,1.9473067113305282,2.2922021573765026,0.0,0.047368421052631504,0.2297955937828726,0.2425627664041001
q1_2020,1,clean_condition_cqr,irradiance_outage,ramp,257,0.5369649805447471,0.36303501945525296,10.146506970030789,9.465386390686035,35.858151788377576,5.297516550999207,6.3715203446813575,0.36303501945525296,0.0,0.20293013940061577,0.7171630357675515
q1_2020,1,clean_condition_cqr,recent_power_outage,non_ramp,5567,0.8828812645949344,0.017118735405065588,34.72745754878526,34.480003356933594,43.97713322482718,11.249283473414845,13.887116790450925,0.017118735405065588,0.0,0.6945491509757052,0.8795426644965435
q1_2020,1,clean_condition_cqr,recent_power_outage,ramp,257,0.9571984435797666,0.057198443579766556,35.674754762464,35.81293869018555,38.467862444629,8.505988695278242,11.612230003725584,0.0,0.057198443579766556,0.71349509524928,0.76935724889258
q1_2020,1,clean_condition_cqr,weather_outage,non_ramp,5567,0.9516795401472966,0.05167954014729659,3.582467571140213,3.0814971923828125,4.2555943483206065,0.6138129499126435,1.225778463466326,0.0,0.05167954014729659,0.07164935142280426,0.08511188696641213
q1_2020,1,clean_condition_cqr,weather_outage,ramp,257,0.3151750972762646,0.5848249027237354,8.151055254824895,7.401346206665039,46.433925332262355,5.5608717244886705,6.448599824638988,0.5848249027237354,0.0,0.1630211050964979,0.9286785066452471
q1_2020,1,lgbm_condition_cqr,clean,non_ramp,5567,0.9362313633914137,0.03623136339141364,5.678611060358119,4.58495020866394,6.281020410333733,0.5929635069414781,1.152194460539624,0.0,0.03623136339141364,0.11357222120716237,0.12562040820667467
q1_2020,1,lgbm_condition_cqr,clean,ramp,257,0.4280155642023346,0.4719844357976654,10.121187470766356,9.567867279052734,34.1836982135179,5.42777893144333,6.511034791225306,0.4719844357976654,0.0,0.20242374941532712,0.683673964270358
q1_2020,1,lgbm_condition_cqr,combined_outage,non_ramp,5567,0.8667145679899407,0.03328543201005929,32.662540355618646,32.351444244384766,42.51209324541566,12.696231408206406,14.946924202982997,0.03328543201005929,0.0,0.6532508071123729,0.8502418649083132
q1_2020,1,lgbm_condition_cqr,combined_outage,ramp,257,0.9494163424124513,0.0494163424124513,34.58865408396443,35.3723258972168,38.18768766232502,9.047230463547466,12.08239448252701,0.0,0.0494163424124513,0.6917730816792885,0.7637537532465004
q1_2020,1,lgbm_condition_cqr,irradiance_outage,non_ramp,5567,0.9227591162205856,0.022759116220585573,9.31027261775847,7.9914549589157104,9.529054262093206,2.089369537762951,2.35919334086946,0.0,0.022759116220585573,0.1862054523551694,0.19058108524186412
q1_2020,1,lgbm_condition_cqr,irradiance_outage,ramp,257,0.7392996108949417,0.16070038910505835,13.791945668973812,12.949125289916992,25.110031725367683,5.295096353798061,6.372925606649142,0.16070038910505835,0.0,0.27583891337947625,0.5022006345073536
q1_2020,1,lgbm_condition_cqr,recent_power_outage,non_ramp,5567,0.8595293694988324,0.040470630501167615,31.013504695738156,29.958133697509766,37.86537454234048,12.393391384610595,14.843968719869912,0.040470630501167615,0.0,0.6202700939147632,0.7573074908468097
q1_2020,1,lgbm_condition_cqr,recent_power_outage,ramp,257,0.9377431906614786,0.037743190661478576,33.19456144251248,33.52284240722656,36.24485898296193,9.193485715509853,12.313053188400563,0.0,0.037743190661478576,0.6638912288502496,0.7248971796592386
q1_2020,1,lgbm_condition_cqr,weather_outage,non_ramp,5567,0.9351535836177475,0.03515358361774745,5.688184605141929,4.5968098640441895,6.310539910550653,0.5996434683235428,1.155833720107779,0.0,0.03515358361774745,0.11376369210283858,0.12621079821101305
q1_2020,1,lgbm_condition_cqr,weather_outage,ramp,257,0.4085603112840467,0.49143968871595334,10.0690160507358,9.53787612915039,34.81087120080272,5.522919378391964,6.539628098976503,0.49143968871595334,0.0,0.201380321014716,0.6962174240160545
q1_2020,1,oracle_ramp_mondrian,clean,non_ramp,5567,0.9617388180348482,0.06173881803484815,4.447499525662773,3.5183067321777344,4.9839339597822825,0.678236407895992,1.4195805142116271,0.0,0.06173881803484815,0.08894999051325547,0.09967867919564564
q1_2020,1,oracle_ramp_mondrian,clean,ramp,257,0.914396887159533,0.014396887159533023,19.81927635655503,18.722408294677734,23.308069340029462,5.107852599036369,6.256628269223423,0.0,0.014396887159533023,0.3963855271311006,0.4661613868005892
q1_2020,1,oracle_ramp_mondrian,combined_outage,non_ramp,5567,0.8972516615771511,0.0027483384228489394,6.78600167840656,6.67381477355957,12.53528604228354,1.8422036654620542,3.7347967315103343,0.0027483384228489394,0.0,0.1357200335681312,0.2507057208456708
q1_2020,1,oracle_ramp_mondrian,combined_outage,ramp,257,0.9221789883268483,0.02217898832684828,21.13541830386169,20.803068161010742,26.381329349158804,5.254242462870676,6.7621746635062365,0.0,0.02217898832684828,0.42270836607723383,0.5276265869831761
