horizon_steps,best_method,baseline_worst_undercoverage,best_worst_undercoverage,improvement,fold_wins_ge_0_02,bootstrap_ci_low,bootstrap_ci_high,clean_score_ratio
1,robust_local_cqr,0.426431718061674,0.3464285714285714,0.0800031466331026,4,-0.10825406016488817,-0.04492807373330072,0.9212433507765125
4,robust_local_cqr,0.15365434221840069,0.06938950988822012,0.08426483233018056,4,-0.1019082086396391,-0.0595745647915999,0.953641295778627
