fold,horizon_steps,strategy,condition,n,qhat,mean_score
q2_2020,4,robust,combined_outage,5824,0.8403090917792753,0.4856776089271815
q2_2020,4,robust,irradiance_outage,5824,0.1488069685167445,0.3012070494671754
q2_2020,4,robust,recent_power_outage,5824,0.3419635996606338,0.3504105097277148
q2_2020,4,robust,weather_outage,5824,0.0007767741935483,0.2594713771557074
q3_2020,1,persistence,clean,5824,3.555333000000001,1.6856740441277476
q3_2020,1,persistence,combined_outage,5824,21.063931,9.27899715212912
q3_2020,1,persistence,irradiance_outage,5824,3.555333000000001,1.6856740441277476
q3_2020,1,persistence,recent_power_outage,5824,21.063931,9.27899715212912
q3_2020,1,persistence,weather_outage,5824,3.555333000000001,1.6856740441277476
q3_2020,1,lgbm,clean,5824,0.0332049261478932,0.1411866746689411
q3_2020,1,lgbm,combined_outage,5824,20.609294539542976,7.611000029268023
q3_2020,1,lgbm,irradiance_outage,5824,0.5767258230320772,0.2316362076940308
q3_2020,1,lgbm,recent_power_outage,5824,19.17131257279047,6.282545688929743
q3_2020,1,lgbm,weather_outage,5824,0.0329696815644384,0.1423429573645038
q3_2020,1,clean,clean,5824,0.0,0.1794306564312456
q3_2020,1,clean,combined_outage,5824,21.21847705,7.175786109933737
q3_2020,1,clean,irradiance_outage,5824,6.665000000000002e-05,0.1425578482906868
q3_2020,1,clean,recent_power_outage,5824,22.56740312666667,6.00858407533995
q3_2020,1,clean,weather_outage,5824,0.0,0.1806073823727457
q3_2020,1,robust,clean,5824,0.0,0.1227251961664112
q3_2020,1,robust,combined_outage,5824,1.365884880676333,0.4488951201854786
q3_2020,1,robust,irradiance_outage,5824,0.0,0.1323961012489181
q3_2020,1,robust,recent_power_outage,5824,0.4087481631578917,0.2956803036401872
q3_2020,1,robust,weather_outage,5824,0.0,0.1208760834329452
q3_2020,4,persistence,clean,5824,10.889665,4.874303059237637
q3_2020,4,persistence,combined_outage,5824,25.890532,11.878116004464284
q3_2020,4,persistence,irradiance_outage,5824,10.889665,4.874303059237637
q3_2020,4,persistence,recent_power_outage,5824,25.890532,11.878116004464284
q3_2020,4,persistence,weather_outage,5824,10.889665,4.874303059237637
q3_2020,4,lgbm,clean,5824,0.0948692895534186,0.1790197827654263
q3_2020,4,lgbm,combined_outage,5824,5.169522715189551,1.7869033765206768
q3_2020,4,lgbm,irradiance_outage,5824,0.9992812254936848,0.3170428911607892
q3_2020,4,lgbm,recent_power_outage,5824,2.829613547407491,0.7982097568621644
q3_2020,4,lgbm,weather_outage,5824,0.0009037352791174,0.1604443282465976
q3_2020,4,clean,clean,5824,0.4402441966666686,0.3804585913292369
q3_2020,4,clean,combined_outage,5824,15.008134896666672,3.703688621636866
q3_2020,4,clean,irradiance_outage,5824,0.7814471400000009,0.3610319682964586
q3_2020,4,clean,recent_power_outage,5824,13.29546147857143,2.8050142950622234
q3_2020,4,clean,weather_outage,5824,0.4138459730769206,0.3806547455349064
q3_2020,4,robust,clean,5824,0.3185075017543894,0.3131072722191274
q3_2020,4,robust,combined_outage,5824,2.069232054166669,0.645878125197828
q3_2020,4,robust,irradiance_outage,5824,0.4620805468421061,0.3362644925546845
q3_2020,4,robust,recent_power_outage,5824,1.055204372212721,0.4642390752634184
q3_2020,4,robust,weather_outage,5824,0.2556140442265795,0.3048731322977366
q4_2020,1,persistence,clean,5888,4.089998000000001,1.843041489130435
q4_2020,1,persistence,combined_outage,5888,21.702532,9.779230168308423
q4_2020,1,persistence,irradiance_outage,5888,4.089998000000001,1.843041489130435
q4_2020,1,persistence,recent_power_outage,5888,21.702532,9.779230168308423
