horizon_steps,horizon_minutes,method,groups,folds,worst_group_undercoverage,q90_group_undercoverage,mean_group_absolute_coverage_error,mean_normalized_width,mean_normalized_interval_score,clean_normalized_interval_score,mean_mae
1,15,clean_condition_cqr,40,4,0.6142857142857143,0.5664945060509393,0.1766215709055648,0.3871835188561975,0.640318031137493,0.5305711446210128,6.649627210396934
1,15,lgbm_condition_cqr,40,4,0.5235632183908046,0.4580913007226237,0.143710527284214,0.38489731568850644,0.5627167400693189,0.44394128308212344,6.869301378347336
1,15,oracle_ramp_mondrian,40,4,0.054336734693877564,0.007348111658456472,0.031356782931829745,0.2707996124771303,0.33761655188312945,0.3006207801339381,3.5078513102313806
1,15,persistence_condition_cqr,40,4,0.9,0.9,0.3139936830378973,0.35142741390295185,0.915318473351735,0.9463088645153441,7.387452369093879
1,15,robust_condition_cqr,40,4,0.426431718061674,0.37393145584224885,0.17466941117664495,0.18692838847354365,0.4320212232145494,0.41668639792099815,3.5078513102313806
1,15,robust_local_cqr,40,4,0.3464285714285714,0.28670154185022034,0.13285879215792504,0.21528002554338097,0.3963066854135432,0.38386957344373557,3.5078513102313806
1,15,robust_risk_mondrian,40,4,0.37916666666666665,0.3156387665198238,0.14694402727053213,0.201318230723121,0.4088971324684696,0.3934627918554402,3.5078513102313806
1,15,robust_rolling_cqr,40,4,0.426431718061674,0.3736338367946298,0.1684292106517424,0.19179157587025336,0.4264899306714929,0.41583194364510445,3.5078513102313806
4,60,clean_condition_cqr,40,4,0.18976784178847805,0.12513058738338192,0.061705794429711955,0.3813325282481683,0.5437521573597229,0.4099971811767651,4.899055610916231
4,60,lgbm_condition_cqr,40,4,0.2791917454858126,0.09149184149184149,0.06002647645484201,0.36131610342408804,0.4301748301037992,0.3588102447813687,5.116349703795969
4,60,oracle_ramp_mondrian,40,4,0.06317016317016322,0.03846153846153845,0.02987992845975057,0.2361614302546548,0.36357013422734613,0.3419653985589056,2.9499300263377397
4,60,persistence_condition_cqr,40,4,0.7314703353396389,0.6142857142857143,0.20632848059728476,0.5389604715659395,0.8490783719576511,0.7662923582301084,11.227184725714944
4,60,robust_condition_cqr,40,4,0.15365434221840069,0.11060606060606064,0.05112199408424659,0.20681244715994235,0.3718289819483507,0.354716045975429,2.9499300263377397
4,60,robust_local_cqr,40,4,0.06938950988822012,0.039743589743589804,0.032199751336679135,0.23746165967166116,0.35400611481515526,0.33827186971747913,2.9499300263377397
4,60,robust_risk_mondrian,40,4,0.10034393809114361,0.06165501165501168,0.035073032160923966,0.2291472975987578,0.3687773215380853,0.3442630308273868,2.9499300263377397
4,60,robust_rolling_cqr,40,4,0.14677558039552885,0.09544282029234745,0.04761868767460231,0.21049367264271795,0.36530117245045207,0.350101032308679,2.9499300263377397
