horizon_steps,method_a,method_b,difference_a_minus_b,ci_low,ci_high,replicates
1,robust_risk_mondrian,robust_condition_cqr,-0.0526706745444643,-0.09637924858497385,-0.015703367069729853,300
4,robust_risk_mondrian,robust_condition_cqr,-0.05456885966959007,-0.07111595603655056,-0.04073787591904047,300
1,robust_local_cqr,robust_condition_cqr,-0.07599311503148269,-0.10825406016488817,-0.04492807373330072,300
4,robust_local_cqr,robust_condition_cqr,-0.0828970434976587,-0.1019082086396391,-0.0595745647915999,300
1,robust_rolling_cqr,robust_condition_cqr,-0.0022879891382723973,-0.014407492354740084,0.0,300
4,robust_rolling_cqr,robust_condition_cqr,-0.009209221474959207,-0.0349906187049603,0.0032501794746359327,300
