fold,horizon_steps,method,worst_undercoverage,mean_abs_coverage_error,mean_normalized_width,mean_normalized_interval_score
q1_2020,1,clean_condition_cqr,0.5848249027237354,0.17390235259334644,0.3703763871994193,0.6277780054086065
q1_2020,1,lgbm_condition_cqr,0.49143968871595334,0.13791841724335804,0.3722369561031364,0.5420704603114179
q1_2020,1,oracle_ramp_mondrian,0.005058365758754846,0.028564267336912398,0.2549087074759514,0.3245782101920679
q1_2020,1,persistence_condition_cqr,0.9,0.2973996990324445,0.3555353182271454,0.8331086339582192
q1_2020,1,robust_condition_cqr,0.36692607003891053,0.16748809514656618,0.16857580813549983,0.4046784173240125
q1_2020,1,robust_local_cqr,0.25408560311284045,0.12783118138502386,0.19021498391159455,0.3735054335832074
q1_2020,1,robust_risk_mondrian,0.28521400778210115,0.1426818264103573,0.17960356562465934,0.3861918689381295
q1_2020,1,robust_rolling_cqr,0.36692607003891053,0.1654173880405586,0.1753621067352588,0.40019715659633237
q1_2020,4,clean_condition_cqr,0.07384240454914703,0.05186725888634612,0.372997309306653,0.5390117568862896
q1_2020,4,lgbm_condition_cqr,0.12229479642934904,0.058490801970929165,0.36950584075945797,0.4441090162804322
q1_2020,4,oracle_ramp_mondrian,0.028891791857173943,0.024449847125468892,0.24197556523929914,0.3617689956789148
q1_2020,4,persistence_condition_cqr,0.32323314378554024,0.16357871963888115,0.5617473792941226,0.7737746622390451
q1_2020,4,robust_condition_cqr,0.04947197400487413,0.02951707495406336,0.20397986569793422,0.3622319275740439
q1_2020,4,robust_local_cqr,0.010479285134037397,0.02715894971739389,0.22816097445867012,0.35133011622191246
q1_2020,4,robust_risk_mondrian,0.0,0.021895325826059242,0.23549980760377673,0.3651781894595564
q1_2020,4,robust_rolling_cqr,0.07221770917952886,0.03398140744321306,0.20702033837051098,0.36032442180041596
q2_2020,1,clean_condition_cqr,0.6142857142857143,0.18884596695821185,0.3971265077709808,0.6913471135287141
