fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,mean_interval_score
q1_2020,1,clean_condition_cqr,clean,down,124,0.3790322580645161,0.5209677419354839,8.034601211547852,48.66728973388672
q1_2020,1,clean_condition_cqr,clean,up,133,0.44360902255639095,0.45639097744360907,8.28864574432373,39.584808349609375
q1_2020,1,clean_condition_cqr,combined_outage,down,124,0.9919354838709677,0.0,34.33426284790039,34.540809631347656
q1_2020,1,clean_condition_cqr,combined_outage,up,133,0.9097744360902256,0.0,36.02696990966797,43.567474365234375
q1_2020,1,clean_condition_cqr,irradiance_outage,down,124,0.6612903225806451,0.2387096774193549,11.107677459716797,28.03057861328125
q1_2020,1,clean_condition_cqr,irradiance_outage,up,133,0.42105263157894735,0.4789473684210527,9.250378608703613,43.156036376953125
q1_2020,1,clean_condition_cqr,recent_power_outage,down,124,1.0,0.0,34.80948257446289,34.80948257446289
q1_2020,1,clean_condition_cqr,recent_power_outage,up,133,0.9172932330827067,0.0,36.481475830078125,41.87867736816406
q1_2020,1,clean_condition_cqr,weather_outage,down,124,0.22580645161290322,0.6741935483870968,8.016312599182129,52.63450241088867
q1_2020,1,clean_condition_cqr,weather_outage,up,133,0.39849624060150374,0.5015037593984963,8.276679039001465,40.65292739868164
q1_2020,1,lgbm_condition_cqr,clean,down,124,0.3225806451612903,0.5774193548387097,9.71722412109375,37.2669677734375
q1_2020,1,lgbm_condition_cqr,clean,up,133,0.5263157894736842,0.37368421052631584,10.49781608581543,31.309070587158203
q1_2020,1,lgbm_condition_cqr,combined_outage,down,124,1.0,0.0,33.59666442871094,33.59666442871094
q1_2020,1,lgbm_condition_cqr,combined_outage,up,133,0.9022556390977443,0.0,35.513519287109375,42.46804428100586
q1_2020,1,lgbm_condition_cqr,irradiance_outage,down,124,0.7661290322580645,0.13387096774193552,13.660432815551758,20.102731704711914
q1_2020,1,lgbm_condition_cqr,irradiance_outage,up,133,0.7142857142857143,0.18571428571428572,13.914558410644531,29.77849006652832
q1_2020,1,lgbm_condition_cqr,recent_power_outage,down,124,1.0,0.0,32.216861724853516,32.216861724853516
q1_2020,1,lgbm_condition_cqr,recent_power_outage,up,133,0.8796992481203008,0.020300751879699264,34.106101989746094,40.00028610229492
