fold,horizon_steps,method_base,condition,ramp_group,n_base,coverage_base,coverage_error_base,mean_width_base,median_width_base,interval_score_base,mae_base,rmse_base,undercoverage_error_base,overcoverage_error_base,normalized_width_base,normalized_interval_score_base,method_local,n_local,coverage_local,coverage_error_local,mean_width_local,median_width_local,interval_score_local,mae_local,rmse_local,undercoverage_error_local,overcoverage_error_local,normalized_width_local,normalized_interval_score_local,undercoverage_improvement,coverage_error_improvement,interval_score_change,width_change
q1_2020,1,robust_condition_cqr,clean,non_ramp,5567,0.9617388180348482,0.0617388180348481,4.447499525662773,3.5183067321777344,4.9839339597822825,0.678236407895992,1.4195805142116271,0.0,0.0617388180348481,0.0889499905132554,0.0996786791956456,robust_local_cqr,5567,0.976648104903898,0.0766481049038979,4.912574169816532,3.642037272453308,5.213469158409292,0.678236407895992,1.4195805142116271,0.0,0.0766481049038979,0.0982514833963306,0.1042693831681858,0.0,-0.014909286869049798,0.22953519862700933,0.4650746441537583
q1_2020,1,robust_condition_cqr,clean,ramp,257,0.5525291828793775,0.3474708171206225,10.094105740929392,8.980201721191406,33.547354948659816,5.107852599036369,6.256628269223423,0.3474708171206225,0.0,0.2018821148185878,0.6709470989731963,robust_local_cqr,257,0.6459143968871596,0.2540856031128404,11.733083660036671,10.613749980926514,30.03082090778573,5.107852599036369,6.256628269223423,0.2540856031128404,0.0,0.2346616732007334,0.6006164181557146,0.0933852140077821,0.0933852140077821,-3.5165340408740846,1.6389779191072797
q1_2020,1,robust_condition_cqr,combined_outage,non_ramp,5567,0.9091072390874798,0.0091072390874797,7.0483001949853135,6.998736381530762,12.48096856446194,1.8422036654620544,3.7347967315103343,0.0,0.0091072390874797,0.1409660038997062,0.2496193712892387,robust_local_cqr,5567,0.9281480150889168,0.0281480150889168,7.886546912732512,7.205574035644531,11.611166500354887,1.8422036654620544,3.7347967315103343,0.0,0.0281480150889168,0.1577309382546502,0.2322233300070977,0.0,-0.0190407760014371,-0.8698020641070521,0.8382467177471984
q1_2020,1,robust_condition_cqr,combined_outage,ramp,257,0.669260700389105,0.230739299610895,12.53116736361025,12.200400352478027,32.06500042945958,5.254242462870676,6.7621746635062365,0.230739299610895,0.0,0.250623347272205,0.6413000085891916,robust_local_cqr,257,0.7782101167315175,0.1217898832684825,14.774828531630773,13.873522758483888,29.122637866767928,5.254242462870676,6.7621746635062365,0.1217898832684825,0.0,0.2954965706326155,0.5824527573353585,0.10894941634241251,0.10894941634241251,-2.9423625626916525,2.243661168020523
q1_2020,1,robust_condition_cqr,irradiance_outage,non_ramp,5567,0.9585054787138496,0.0585054787138494,5.118412608205397,4.382835388183594,5.67648213887041,0.7803590918357652,1.598096605024169,0.0,0.0585054787138494,0.1023682521641079,0.1135296427774082,robust_local_cqr,5567,0.980240704149452,0.080240704149452,5.651019248138963,4.705583572387695,5.938735287664818,0.7803590918357652,1.598096605024169,0.0,0.080240704149452,0.1130203849627792,0.1187747057532963,0.0,-0.0217352254356026,0.2622531487944073,0.532606639933566
q1_2020,1,robust_condition_cqr,irradiance_outage,ramp,257,0.5330739299610895,0.3669260700389105,10.752868323474544,10.131298065185549,34.6969136426421,5.367470049208704,6.503948769421847,0.3669260700389105,0.0,0.2150573664694908,0.693938272852842,robust_local_cqr,257,0.669260700389105,0.230739299610895,12.34527972792837,11.458091735839844,31.258228956029573,5.367470049208704,6.503948769421847,0.230739299610895,0.0,0.2469055945585674,0.6251645791205914,0.13618677042801547,0.13618677042801547,-3.438684686612529,1.5924114044538253
q1_2020,1,robust_condition_cqr,recent_power_outage,non_ramp,5567,0.9285072750134724,0.0285072750134722,6.688716251640653,6.612615950405598,11.335308643875171,1.5766525508488094,3.5215576014557555,0.0,0.0285072750134722,0.133774325032813,0.2267061728775034,robust_local_cqr,5567,0.938386922938746,0.0383869229387461,7.12920612745603,6.927238464355469,11.218350545762023,1.5766525508488094,3.5215576014557555,0.0,0.0383869229387461,0.1425841225491206,0.2243670109152405,0.0,-0.009879647925273898,-0.11695809811314817,0.440489875815377
q1_2020,1,robust_condition_cqr,recent_power_outage,ramp,257,0.7237354085603113,0.1762645914396887,12.56558721956112,11.744510650634766,29.40845707835854,4.900049499036737,6.332669151575552,0.1762645914396887,0.0,0.2513117443912224,0.5881691415671708,robust_local_cqr,257,0.7665369649805448,0.1334630350194552,13.691341372315522,12.876895904541016,27.52274868182171,4.900049499036737,6.332669151575552,0.1334630350194552,0.0,0.2738268274463104,0.5504549736364343,0.042801556420233505,0.042801556420233505,-1.885708396536831,1.1257541527544017
q1_2020,1,robust_condition_cqr,weather_outage,non_ramp,5567,0.963714747619903,0.0637147476199029,4.663681807831013,3.744304656982422,5.170790458353547,0.6958327055851651,1.4359712048283235,0.0,0.0637147476199029,0.0932736361566202,0.1034158091670709,robust_local_cqr,5567,0.9762888449793424,0.0762888449793425,5.124030096067958,3.896210670471192,5.420639339128928,0.6958327055851651,1.4359712048283235,0.0,0.0762888449793425,0.1024806019213591,0.1084127867825785,0.0,-0.01257409735943961,0.2498488807753807,0.4603482882369452
q1_2020,1,robust_condition_cqr,weather_outage,ramp,257,0.5680933852140078,0.3319066147859922,10.377565031849455,9.38654327392578,32.973998797542855,5.266590092432638,6.309164741446045,0.3319066147859922,0.0,0.2075513006369891,0.6594799759508571,robust_local_cqr,257,0.6614785992217899,0.2385214007782101,11.859582109673942,10.93301486968994,29.41591954787881,5.266590092432638,6.309164741446045,0.2385214007782101,0.0,0.2371916421934788,0.5883183909575763,0.0933852140077821,0.0933852140077821,-3.5580792496640434,1.4820170778244872
q1_2020,4,robust_condition_cqr,clean,non_ramp,4593,0.9261920313520576,0.0261920313520575,7.305304332404784,4.747216701507568,10.64396645367372,1.714147022238323,3.467874403261088,0.0,0.0261920313520575,0.1461060866480956,0.2128793290734744,robust_local_cqr,4593,0.952971913781842,0.0529719137818419,8.246907010204387,4.996923983097076,10.19147837044192,1.714147022238323,3.467874403261088,0.0,0.0529719137818419,0.1649381402040877,0.2038295674088384,0.0,-0.0267798824297844,-0.452488083231799,0.9416026777996027
q1_2020,4,robust_condition_cqr,clean,ramp,1231,0.8659626320064988,0.0340373679935012,10.386486466483392,9.389242172241213,22.9181684181968,2.9640718612439363,5.5392071476142215,0.0340373679935012,0.0,0.2077297293296678,0.458363368363936,robust_local_cqr,1231,0.9106417546709992,0.0106417546709991,12.595922552018708,11.374671936035156,22.549846122986853,2.9640718612439363,5.5392071476142215,0.0,0.0106417546709991,0.2519184510403741,0.450996922459737,0.0340373679935012,0.023395613322502097,-0.3683222952099463,2.209436085535316
q1_2020,4,robust_condition_cqr,combined_outage,non_ramp,4593,0.9266274765948184,0.0266274765948182,9.803822553280035,8.193297386169434,14.492881913307867,2.3096457406570616,4.44144905129313,0.0,0.0266274765948182,0.1960764510656007,0.2898576382661574,robust_local_cqr,4593,0.9270629218375788,0.0270629218375788,9.509643292358543,7.088025867938995,13.532047407282956,2.3096457406570616,4.44144905129313,0.0,0.0270629218375788,0.1901928658471709,0.2706409481456591,0.0,-0.00043544524276060287,-0.960834506024911,-0.29417926092149216
q1_2020,4,robust_condition_cqr,combined_outage,ramp,1231,0.8505280259951259,0.0494719740048741,14.322355884883876,13.586194515228271,26.241745635955635,3.994119687912612,5.990238832403612,0.0494719740048741,0.0,0.2864471176976775,0.5248349127191126,robust_local_cqr,1231,0.8895207148659626,0.0104792851340373,15.23154904106768,14.695428133010864,25.30845168779947,3.994119687912612,5.990238832403612,0.0104792851340373,0.0,0.3046309808213536,0.5061690337559894,0.0389926888708368,0.0389926888708368,-0.933293948156166,0.9091931561838038
q1_2020,4,robust_condition_cqr,irradiance_outage,non_ramp,4593,0.929022425430002,0.0290224254300021,8.412009873462935,6.18024155497551,11.697789648093158,1.8806203337959544,3.722242581441746,0.0,0.0290224254300021,0.1682401974692587,0.2339557929618631,robust_local_cqr,4593,0.95188330067494,0.05188330067494,9.050346923227847,6.106517791748047,11.196986308316363,1.8806203337959544,3.722242581441746,0.0,0.05188330067494,0.1810069384645569,0.2239397261663272,0.0,-0.0228608752449379,-0.5008033397767946,0.6383370497649121
q1_2020,4,robust_condition_cqr,irradiance_outage,ramp,1231,0.875710804224208,0.024289195775792,12.080462559959289,11.340816497802734,23.74106647134596,3.156119564967646,5.650267857031189,0.024289195775792,0.0,0.2416092511991857,0.4748213294269192,robust_local_cqr,1231,0.9106417546709992,0.0106417546709991,13.84346802020786,13.0068359375,22.829574268346065,3.156119564967646,5.650267857031189,0.0,0.0106417546709991,0.2768693604041572,0.4565914853669213,0.024289195775792,0.0136474411047929,-0.9114922029998951,1.7630054602485714
q1_2020,4,robust_condition_cqr,recent_power_outage,non_ramp,4593,0.8937513607663836,0.0062486392336164,8.403401747991138,5.901415824890137,13.82162472905602,2.264265380480994,4.262405124044213,0.0062486392336164,0.0,0.1680680349598227,0.2764324945811204,robust_local_cqr,4593,0.9279338123231003,0.0279338123231003,9.42601823385974,6.486880302429199,12.937962841945094,2.264265380480994,4.262405124044213,0.0,0.0279338123231003,0.1885203646771948,0.2587592568389019,0.0062486392336164,-0.021685173089483898,-0.883661887110927,1.0226164858686015
q1_2020,4,robust_condition_cqr,recent_power_outage,ramp,1231,0.8846466287571081,0.0153533712428919,12.075497966928516,11.726557731628418,22.72575457860768,3.1841382682811434,5.442059865796942,0.0153533712428919,0.0,0.2415099593385702,0.4545150915721535,robust_local_cqr,1231,0.9187652315190902,0.0187652315190901,14.286049118110038,13.076638221740724,23.085106103921238,3.1841382682811434,5.442059865796942,0.0,0.0187652315190901,0.2857209823622007,0.4617021220784247,0.0153533712428919,-0.0034118602761982007,0.3593515253135564,2.2105511511815212
q1_2020,4,robust_condition_cqr,weather_outage,non_ramp,4593,0.943392118441106,0.043392118441106,7.767868638644106,5.308915615081787,10.273411078669737,1.7203145048145183,3.5290326694826204,0.0,0.043392118441106,0.1553573727728821,0.2054682215733947,robust_local_cqr,4593,0.9595035924232528,0.0595035924232527,8.448569214967508,5.426299571990967,10.00735157168206,1.7203145048145183,3.5290326694826204,0.0,0.0595035924232527,0.1689713842993501,0.2001470314336412,0.0,-0.0161114739821467,-0.266059506987677,0.6807005763234022
q1_2020,4,robust_condition_cqr,weather_outage,ramp,1231,0.859463850528026,0.040536149471974,11.432722824929051,10.621338367462158,24.559554860115377,3.291024192938071,5.669376962687181,0.040536149471974,0.0,0.228654456498581,0.4911910972023075,robust_local_cqr,1231,0.9017059301380992,0.001705930138099,13.442013823312736,12.280471682548525,24.026253428234217,3.291024192938071,5.669376962687181,0.0,0.001705930138099,0.2688402764662547,0.4805250685646843,0.040536149471974,0.038830219333875,-0.53330143188116,2.009290998383685
