horizon_steps,threshold_fraction,method,condition,ramp_group,n,coverage,undercoverage_error,mean_width
1,0.1,robust_local_cqr,clean,ramp,1395,0.628673835125448,0.27132616487455197,12.88591480255127
1,0.1,robust_local_cqr,combined_outage,non_ramp,22029,0.934540832538926,0.0,9.075248718261719
1,0.1,robust_local_cqr,combined_outage,ramp,1395,0.7698924731182796,0.13010752688172045,17.62512969970703
1,0.1,robust_local_cqr,irradiance_outage,non_ramp,22029,0.9705388351718189,0.0,5.958563327789307
1,0.1,robust_local_cqr,irradiance_outage,ramp,1395,0.6207885304659498,0.2792114695340502,13.222009658813477
1,0.1,robust_local_cqr,recent_power_outage,non_ramp,22029,0.9444822733669254,0.0,8.811704635620117
1,0.1,robust_local_cqr,recent_power_outage,ramp,1395,0.8086021505376344,0.09139784946236562,17.43067169189453
1,0.1,robust_local_cqr,weather_outage,non_ramp,22029,0.9679967315810977,0.0,5.467136859893799
1,0.1,robust_local_cqr,weather_outage,ramp,1395,0.625089605734767,0.274910394265233,12.938048362731934
1,0.1,robust_risk_mondrian,clean,non_ramp,22029,0.9612329202414999,0.0,5.141643047332764
1,0.1,robust_risk_mondrian,clean,ramp,1395,0.6078853046594982,0.29211469534050183,12.51513385772705
1,0.1,robust_risk_mondrian,combined_outage,non_ramp,22029,0.9196967633573925,0.0,8.685126304626465
1,0.1,robust_risk_mondrian,combined_outage,ramp,1395,0.7247311827956989,0.1752688172043011,15.799985885620117
1,0.1,robust_risk_mondrian,irradiance_outage,non_ramp,22029,0.9632302873484951,0.0,5.803435325622559
1,0.1,robust_risk_mondrian,irradiance_outage,ramp,1395,0.6086021505376344,0.2913978494623656,13.030424118041992
1,0.1,robust_risk_mondrian,recent_power_outage,non_ramp,22029,0.9248263652458123,0.0,7.93856954574585
1,0.1,robust_risk_mondrian,recent_power_outage,ramp,1395,0.749820788530466,0.15017921146953406,15.204068183898926
1,0.1,robust_risk_mondrian,weather_outage,non_ramp,22029,0.9617322620182487,0.0,5.278669357299805
